race_id,race_name,course_len,rotation,weather,race_type,ground_state,date
202001010101,2歳未勝利,1800,右,曇,芝,良,2020年7月25日
202001010102,3歳未勝利,1700,右,曇,ダート,良,2020年7月25日
202001010103,3歳未勝利,1500,右,曇,芝,良,2020年7月25日
202001010104,3歳未勝利,1700,右,曇,ダート,良,2020年7月25日
202001010105,2歳新馬,1200,右,晴,芝,良,2020年7月25日
202001010106,3歳未勝利,2000,右,晴,芝,良,2020年7月25日
202001010107,3歳以上1勝クラス,1000,右,晴,ダート,良,2020年7月25日
202001010108,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年7月25日
202001010109,利尻特別 ,2000,右,晴,芝,良,2020年7月25日
202001010110,大倉山特別 ,1700,右,晴,ダート,良,2020年7月25日
202001010111,しらかばステークス ,1200,右,晴,芝,良,2020年7月25日
202001010112,3歳以上1勝クラス,1200,右,曇,芝,良,2020年7月25日
202001010201,2歳未勝利,1200,右,晴,芝,良,2020年7月26日
202001010202,3歳未勝利,1000,右,晴,ダート,良,2020年7月26日
202001010203,3歳未勝利,1700,右,晴,ダート,良,2020年7月26日
202001010204,3歳未勝利,2000,右,晴,芝,良,2020年7月26日
202001010205,2歳新馬,1800,右,晴,芝,良,2020年7月26日
202001010206,2歳新馬,1700,右,晴,ダート,良,2020年7月26日
202001010207,3歳以上1勝クラス,1800,右,晴,芝,良,2020年7月26日
202001010208,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年7月26日
202001010209,HTB賞 ,2000,右,晴,芝,良,2020年7月26日
202001010210,知床特別 ,1200,右,晴,芝,良,2020年7月26日
202001010211,報知杯大雪ハンデ ,1700,右,晴,ダート,良,2020年7月26日
202001010212,3歳以上1勝クラス,1500,右,晴,芝,良,2020年7月26日
202001010301,2歳未勝利,1500,右,晴,芝,良,2020年8月1日
202001010302,3歳未勝利,1700,右,晴,ダート,良,2020年8月1日
202001010303,3歳未勝利,1000,右,晴,ダート,良,2020年8月1日
202001010304,3歳未勝利,1700,右,晴,ダート,良,2020年8月1日
202001010305,2歳新馬,1500,右,晴,芝,良,2020年8月1日
202001010306,3歳未勝利,2000,右,晴,芝,良,2020年8月1日
202001010307,3歳以上1勝クラス,1800,右,晴,芝,良,2020年8月1日
202001010308,3歳以上2勝クラス,1000,右,晴,ダート,良,2020年8月1日
202001010309,礼文特別 ,1200,右,晴,芝,良,2020年8月1日
202001010310,阿寒湖特別 ,2600,右,晴,芝,良,2020年8月1日
202001010311,STV賞 ,1800,右,晴,芝,良,2020年8月1日
202001010312,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月1日
202001010401,2歳未勝利,1000,右,晴,ダート,良,2020年8月2日
202001010402,3歳未勝利,1700,右,晴,ダート,良,2020年8月2日
202001010403,3歳未勝利,2000,右,晴,芝,良,2020年8月2日
202001010404,3歳未勝利,1200,右,晴,芝,良,2020年8月2日
202001010405,2歳新馬,2000,右,晴,芝,良,2020年8月2日
202001010406,3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月2日
202001010407,3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月2日
202001010408,積丹特別 ,2600,右,晴,芝,良,2020年8月2日
202001010409,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月2日
202001010410,ポプラ特別 ,1700,右,晴,ダート,良,2020年8月2日
202001010411,第68回クイーンステークス(G3),1800,右,晴,芝,良,2020年8月2日
202001010412,札幌道新スポーツ賞 ,1500,右,晴,芝,良,2020年8月2日
202001010501,2歳未勝利,1700,右,曇,ダート,良,2020年8月8日
202001010502,2歳未勝利,1800,右,曇,芝,良,2020年8月8日
202001010503,3歳未勝利,1700,右,曇,ダート,良,2020年8月8日
202001010504,3歳未勝利,1500,右,曇,芝,良,2020年8月8日
202001010505,2歳新馬,1200,右,曇,芝,良,2020年8月8日
202001010506,3歳未勝利,2000,右,曇,芝,良,2020年8月8日
202001010507,3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月8日
202001010508,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月8日
202001010509,北辰特別 ,1800,右,晴,芝,良,2020年8月8日
202001010510,桑園特別 ,1700,右,晴,ダート,良,2020年8月8日
202001010511,札幌日経オープン(L),2600,右,晴,芝,良,2020年8月8日
202001010512,3歳以上1勝クラス,1500,右,晴,芝,良,2020年8月8日
202001010601,2歳未勝利,1200,右,晴,芝,良,2020年8月9日
202001010602,3歳未勝利,1000,右,晴,ダート,良,2020年8月9日
202001010603,3歳未勝利,1700,右,晴,ダート,良,2020年8月9日
202001010604,3歳未勝利,1200,右,晴,芝,良,2020年8月9日
202001010605,2歳新馬,1800,右,晴,芝,良,2020年8月9日
202001010606,3歳未勝利,2600,右,晴,芝,良,2020年8月9日
202001010607,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月9日
202001010608,3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月9日
202001010609,ライラック賞 ,1800,右,晴,芝,良,2020年8月9日
202001010610,HBC賞 ,1200,右,曇,芝,良,2020年8月9日
202001010611,第25回エルムステークス(G3),1700,右,曇,ダート,良,2020年8月9日
202001010612,3歳以上1勝クラス,1200,右,晴,芝,良,2020年8月9日
202001020101,2歳未勝利,1800,右,晴,芝,稍重,2020年8月15日
202001020102,2歳未勝利,1000,右,晴,ダート,不良,2020年8月15日
202001020103,3歳未勝利,1700,右,晴,ダート,不良,2020年8月15日
202001020104,3歳未勝利,1000,右,晴,ダート,不良,2020年8月15日
202001020105,2歳新馬,1500,右,晴,芝,稍重,2020年8月15日
202001020106,3歳未勝利,2000,右,晴,芝,稍重,2020年8月15日
202001020107,3歳以上1勝クラス,1700,右,晴,ダート,不良,2020年8月15日
202001020108,3歳以上1勝クラス,2600,右,晴,芝,稍重,2020年8月15日
202001020109,3歳以上1勝クラス,1200,右,晴,芝,稍重,2020年8月15日
202001020110,コスモス賞 ,1800,右,晴,芝,稍重,2020年8月15日
202001020111,TVh賞 ,1700,右,晴,ダート,重,2020年8月15日
202001020112,羊ヶ丘特別 ,1500,右,晴,芝,稍重,2020年8月15日
202001020201,2歳未勝利,1200,右,曇,芝,良,2020年8月16日
202001020202,3歳未勝利,1700,右,曇,ダート,重,2020年8月16日
202001020203,3歳未勝利,1500,右,曇,芝,良,2020年8月16日
202001020204,3歳未勝利,1700,右,曇,ダート,重,2020年8月16日
202001020205,2歳新馬,1800,右,曇,芝,良,2020年8月16日
202001020206,3歳以上1勝クラス,1000,右,曇,ダート,稍重,2020年8月16日
202001020207,3歳以上1勝クラス,1700,右,曇,ダート,稍重,2020年8月16日
202001020208,3歳以上1勝クラス,1500,右,晴,芝,良,2020年8月16日
202001020209,3歳以上2勝クラス,1000,右,晴,ダート,稍重,2020年8月16日
202001020210,藻岩山特別 ,2000,右,晴,芝,良,2020年8月16日
202001020211,UHB賞 ,1200,右,曇,芝,良,2020年8月16日
202001020212,石狩特別 ,1800,右,曇,芝,良,2020年8月16日
202001020301,2歳未勝利,1800,右,晴,芝,良,2020年8月22日
202001020303,3歳未勝利,1700,右,晴,ダート,良,2020年8月22日
202001020304,3歳未勝利,1200,右,晴,芝,良,2020年8月22日
202001020305,2歳新馬,1200,右,晴,芝,良,2020年8月22日
202001020306,3歳未勝利,1700,右,晴,ダート,良,2020年8月22日
202001020307,3歳未勝利,2000,右,晴,芝,良,2020年8月22日
202001020308,3歳以上1勝クラス,1000,右,晴,ダート,良,2020年8月22日
202001020309,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月22日
202001020310,富良野特別 ,2000,右,晴,芝,良,2020年8月22日
202001020311,札幌日刊スポーツ杯 ,2600,右,晴,芝,良,2020年8月22日
202001020312,千歳特別 ,1200,右,晴,芝,良,2020年8月22日
202001020401,2歳未勝利,1500,右,晴,芝,良,2020年8月23日
202001020402,3歳未勝利,1000,右,晴,ダート,良,2020年8月23日
202001020403,3歳未勝利,1700,右,晴,ダート,良,2020年8月23日
202001020404,3歳未勝利,2600,右,晴,芝,良,2020年8月23日
202001020405,2歳新馬,2000,右,晴,芝,良,2020年8月23日
202001020406,3歳以上1勝クラス,2400,右,晴,ダート,良,2020年8月23日
202001020407,3歳以上1勝クラス,1700,右,晴,ダート,良,2020年8月23日
202001020408,3歳以上1勝クラス,2000,右,晴,芝,良,2020年8月23日
202001020409,クローバー賞 ,1500,右,晴,芝,良,2020年8月23日
202001020410,大通公園特別 ,1700,右,晴,ダート,良,2020年8月23日
202001020411,第56回札幌記念(G2),2000,右,晴,芝,良,2020年8月23日
202001020412,手稲山特別 ,1200,右,晴,芝,良,2020年8月23日
202001020501,2歳未勝利,1800,右,曇,芝,良,2020年8月29日
202001020502,2歳未勝利,1200,右,曇,芝,良,2020年8月29日
202001020503,3歳未勝利,1000,右,曇,ダート,良,2020年8月29日
202001020504,3歳未勝利,1700,右,曇,ダート,良,2020年8月29日
202001020505,2歳新馬,1700,右,曇,ダート,良,2020年8月29日
202001020506,3歳未勝利,1500,右,曇,芝,良,2020年8月29日
