,features,importance
447,race_name_日野特別 ,0
448,race_name_日高ステークス ,0
473,race_name_松前特別 ,0
475,race_name_松戸特別 ,0
521,race_name_熊野特別 ,0
510,race_name_渡島特別 ,0
501,race_name_洲本特別 ,0
502,race_name_浜名湖特別 ,0
503,race_name_浜松ステークス ,0
504,race_name_浦佐特別 ,0
505,race_name_浦安特別 ,0
506,race_name_海の中道特別 ,0
507,race_name_淀短距離ステークス(L),0
508,race_name_清津峡ステークス ,0
509,race_name_清里特別 ,0
511,race_name_湘南ステークス ,0
499,race_name_洞爺湖特別 ,0
512,race_name_湯の川温泉特別 ,0
513,race_name_湯浜特別 ,0
514,race_name_潮来特別 ,0
515,race_name_潮騒特別 ,0
618,race_name_第54回共同通信杯(G3),0
517,race_name_瀬戸特別 ,0
518,race_name_瀬波温泉特別 ,0
519,race_name_灘ステークス ,0
520,race_name_火打山特別 ,0
500,race_name_津軽海峡特別 ,0
498,race_name_河口湖特別 ,0
476,race_name_柳都ステークス ,0
486,race_name_梅田ステークス ,0
477,race_name_栄特別 ,0
478,race_name_栗東ステークス(L),0
479,race_name_栞ステークス ,0
480,race_name_桂川ステークス ,0
481,race_name_桃山ステークス ,0
482,race_name_桑園特別 ,0
483,race_name_桑折特別 ,0
484,race_name_桜島ステークス ,0
485,race_name_桶狭間ステークス ,0
487,race_name_横手特別 ,0
497,race_name_河原町ステークス ,0
488,race_name_横津岳特別 ,0
489,race_name_橿原ステークス ,0
490,race_name_檜山特別 ,0
491,race_name_欅ステークス ,0
492,race_name_水無月ステークス ,0
493,race_name_汐留特別 ,0
494,race_name_江の島ステークス ,0
495,race_name_沈丁花賞 ,0
496,race_name_河北新報杯 ,0
617,race_name_第54回フィリーズレビュー(G2),0
625,race_name_第56回七夕賞(G3),0
619,race_name_第54回小倉大賞典(G3),0
749,race_name_門松ステークス ,0
740,race_name_銀嶺ステークス ,0
741,race_name_銀蹄ステークス ,0
742,race_name_鋸山特別 ,0
743,race_name_錦秋ステークス ,0
744,race_name_鎌倉ステークス ,0
745,race_name_長万部特別 ,0
746,race_name_長久手特別 ,0
747,race_name_長篠ステークス ,0
748,race_name_門司ステークス ,0
750,race_name_開成山特別 ,0
738,race_name_釧路湿原特別 ,0
751,race_name_開聞岳特別 ,0
752,race_name_関ケ原ステークス ,0
753,race_name_関門橋ステークス ,0
754,race_name_阿寒湖特別 ,0
755,race_name_阿武隈ステークス ,0
756,race_name_阿蘇ステークス ,0
757,race_name_阿賀野川特別 ,0
758,race_name_陣馬特別 ,0
759,race_name_陽春ステークス ,0
739,race_name_鈴鹿特別 ,0
737,race_name_釜山ステークス ,0
761,race_name_雪うさぎ賞 ,0
725,race_name_赤松賞 ,0
716,race_name_西郷特別 ,0
717,race_name_調布特別 ,0
718,race_name_豊川特別 ,0
719,race_name_豊明ステークス ,0
720,race_name_豊栄特別 ,0
721,race_name_豊橋特別 ,0
722,race_name_貴船ステークス ,0
723,race_name_賢島特別 ,0
724,race_name_赤富士ステークス ,0
726,race_name_赤穂特別 ,0
736,race_name_金蹄ステークス ,0
727,race_name_越後ステークス ,0
728,race_name_蹴上特別 ,0
729,race_name_遊楽部特別 ,0
730,race_name_道頓堀ステークス ,0
731,race_name_郡山特別 ,0
732,race_name_都井岬特別 ,0
733,race_name_野島崎特別 ,0
734,race_name_野路菊ステークス ,0
735,race_name_金山特別 ,0
760,race_name_雅ステークス ,0
762,race_name_雲雀ステークス ,0
620,race_name_第55回TV西日本北九州記念(G3),0
797,race_name_麒麟山特別 ,0
788,race_name_鳴海特別 ,0
789,race_name_鳴門ステークス ,0
790,race_name_鴨川特別 ,0
791,race_name_鶴ヶ城特別 ,0
792,race_name_鶴見特別 ,0
793,race_name_鷹ケ峰特別 ,0
794,race_name_鷹取特別 ,0
795,race_name_鷹巣山特別 ,0
796,race_name_鹿野山特別 ,0
798,race_name_麦秋ステークス ,0
786,race_name_鳥栖特別 ,0
799,race_name_黄菊賞 ,0
800,race_name_黒竹賞 ,0
17,騎手_勝浦正樹,0
803,weather_小雨,0
804,weather_小雪,0
16,騎手_加藤祥太,0
15,騎手_内田博幸,0
808,weather_雪,0
12,騎手_丸山元気,0
787,race_name_鳳雛ステークス(L),0
785,race_name_鳥屋野特別 ,0
763,race_name_霜月ステークス ,0
773,race_name_飯盛山特別 ,0
764,race_name_青嵐賞 ,0
765,race_name_青梅特別 ,0
766,race_name_青竜ステークス ,0
767,race_name_鞍馬ステークス ,0
768,race_name_韓国馬事会杯 ,0
769,race_name_響灘特別 ,0
770,race_name_頌春賞 ,0
771,race_name_飛騨ステークス ,0
772,race_name_飯坂温泉特別 ,0
774,race_name_飯豊特別 ,0
784,race_name_鳥取特別 ,0
775,race_name_館山特別 ,0
776,race_name_香取特別 ,0
777,race_name_駒ケ岳特別 ,0
778,race_name_駒場特別 ,0
779,race_name_高尾特別 ,0
780,race_name_高湯温泉特別 ,0
781,race_name_高瀬川ステークス ,0
782,race_name_高田城特別 ,0
783,race_name_高砂特別 ,0
715,race_name_西部日刊スポーツ杯 ,0
714,race_name_西部スポニチ賞 ,0
713,race_name_西脇特別 ,0
654,race_name_第70回安田記念(G1),0
645,race_name_第68回クイーンステークス(G3),0
646,race_name_第68回日経賞(G2),0
647,race_name_第68回神戸新聞杯(G2),0
648,race_name_第68回阪神大賞典(G2),0
649,race_name_第69回フジTVスプリングS(G2),0
650,race_name_第69回ラジオNIKKEI賞(G3),0
651,race_name_第69回日刊スポ賞中山金杯(G3),0
652,race_name_第6回サウジアラビアRC(G3),0
653,race_name_第70回ダイヤモンドS(G3),0
655,race_name_第70回東京新聞杯(G3),0
643,race_name_第65回有馬記念(G1),0
656,race_name_第71回チャレンジカップ(G3),0
657,race_name_第71回毎日王冠(G2),0
658,race_name_第73回鳴尾記念(G3),0
659,race_name_第7回ラジオN杯京都2歳S(G3),0
660,race_name_第80回皐月賞(G1),0
661,race_name_第81回優駿牝馬(G1),0
662,race_name_第87回東京優駿(G1),0
663,race_name_第94回中山記念(G2),0
664,race_name_第9回アルテミスステークス(G3),0
644,race_name_第68回アイルランド府中牝馬(G2),0
642,race_name_第65回京阪杯(G3),0
712,race_name_西湖特別 ,0
630,race_name_第56回札幌記念(G2),0
621,race_name_第55回サンスポ賞フローラS(G2),0
622,race_name_第55回デイリー杯クイーンC(G3),0
623,race_name_第55回札幌2歳ステークス(G3),0
624,race_name_第56回CBC賞(G3),0
427,race_name_忘れな草賞(L),0
626,race_name_第56回中日新聞杯(G3),0
627,race_name_第56回京王杯2歳ステークス(G2),0
628,race_name_第56回函館記念(G3),0
629,race_name_第56回小倉記念(G3),0
631,race_name_第56回福島記念(G3),0
641,race_name_第65回京王杯スプリングC(G2),0
632,race_name_第56回金鯱賞(G2),0
633,race_name_第57回報知弥生ディープ記念(G2),0
634,race_name_第57回愛知杯(G3),0
635,race_name_第58回アルゼンチン共和国杯(G2),0
636,race_name_第5回紫苑ステークス(G3),0
637,race_name_第60回京成杯(G3),0
638,race_name_第61回宝塚記念(G1),0
639,race_name_第64回大阪杯(G1),0
640,race_name_第64回阪急杯(G3),0
665,race_name_筑紫特別 ,0
666,race_name_箱根特別 ,0
667,race_name_節分ステークス ,0
701,race_name_菅名岳特別 ,0
692,race_name_苗場特別 ,0
693,race_name_若竹賞 ,0
694,race_name_若葉ステークス(L),0
695,race_name_若駒ステークス(L),0
696,race_name_苫小牧特別 ,0
697,race_name_英彦山特別 ,0
698,race_name_茨城新聞杯 ,0
699,race_name_茶臼山高原特別 ,0
700,race_name_荒川峡特別 ,0
702,race_name_萌黄賞 ,0
668,race_name_米沢特別 ,0
703,race_name_萬代橋特別 ,0
704,race_name_葉山特別 ,0
705,race_name_葉牡丹賞 ,0
706,race_name_薩摩ステークス ,0
707,race_name_薫風ステークス ,0
708,race_name_藤森ステークス ,0
709,race_name_藻岩山特別 ,0
710,race_name_西日本スポーツ杯 ,0
711,race_name_西海賞 ,0
691,race_name_花見山特別 ,0
690,race_name_花のみちステークス ,0
689,race_name_芦屋川特別 ,0
688,race_name_芦ノ湖特別 ,0
669,race_name_精進湖特別 ,0
670,race_name_納屋橋ステークス ,0
671,race_name_紫川特別 ,0
672,race_name_紫菊賞 ,0
673,race_name_紫野特別 ,0
674,race_name_総武ステークス ,0
675,race_name_緑風ステークス ,0
676,race_name_織姫賞 ,0
677,race_name_羅生門ステークス ,0
678,race_name_羊ヶ丘特別 ,0
679,race_name_美浦ステークス ,0
680,race_name_能勢特別 ,0
681,race_name_脊振山特別 ,0
682,race_name_臥牛山特別 ,0
683,race_name_與杼特別 ,0
684,race_name_舞子特別 ,0
685,race_name_舞浜特別 ,0
686,race_name_舞鶴ステークス ,0
687,race_name_芙蓉ステークス ,0
428,race_name_恵山特別 ,0
423,race_name_彦星賞 ,0
426,race_name_心斎橋ステークス ,0
183,race_name_タンザナイトS ,0
161,race_name_カーネーションカップ ,0
162,race_name_キタサンブラックM ,0
163,race_name_キャピタルステークス(L),0
164,race_name_ギャラクシーS ,0
165,race_name_クロッカスステークス(L),0
166,race_name_クローバー賞 ,0
167,race_name_グッドラックハンデ ,0
168,race_name_グリーンチャンネルC(L),0
169,race_name_グレイトフルS ,0
170,race_name_ケフェウスステークス ,0
171,race_name_コスモス賞 ,0
172,race_name_コーラルステークス(L),0
173,race_name_サンシャインS ,0
174,race_name_シドニートロフィー ,0
175,race_name_シャングリラ賞 ,0
176,race_name_ジャニュアリーS ,0
177,race_name_ジュライステークス(L),0
178,race_name_ジューンステークス ,0
179,race_name_スイートピーS(L),0
180,race_name_スピカステークス ,0
181,race_name_スレイプニルS ,0
160,race_name_カノープスステークス ,0
159,race_name_カトレアステークス ,0
158,race_name_オーロカップ(L),0
