,course_len,weather,race_type,ground_state,date
201401010101,1500,曇,芝,良,2014年7月26日
201401010102,1000,小雨,ダート,良,2014年7月26日
201401010103,1700,曇,ダート,良,2014年7月26日
201401010104,1700,曇,ダート,良,2014年7月26日
201401010105,1500,小雨,芝,良,2014年7月26日
201401010106,2000,雨,芝,良,2014年7月26日
201401010107,1000,雨,ダート,稍重,2014年7月26日
201401010108,1200,雨,芝,稍重,2014年7月26日
201401010109,1700,雨,ダート,稍重,2014年7月26日
201401010110,2000,雨,芝,稍重,2014年7月26日
201401010111,2000,雨,芝,稍重,2014年7月26日
201401010112,1700,雨,ダート,重,2014年7月26日
201401010201,1200,晴,芝,稍重,2014年7月27日
201401010202,1700,晴,ダート,重,2014年7月27日
201401010203,1700,晴,ダート,重,2014年7月27日
201401010204,1200,曇,芝,良,2014年7月27日
201401010205,1800,曇,芝,良,2014年7月27日
201401010206,1700,曇,ダート,稍重,2014年7月27日
201401010207,1500,曇,芝,良,2014年7月27日
201401010208,1700,小雨,ダート,稍重,2014年7月27日
201401010209,1800,雨,芝,稍重,2014年7月27日
201401010210,2600,雨,芝,稍重,2014年7月27日
201401010211,1700,雨,ダート,不良,2014年7月27日
201401010212,1500,雨,芝,稍重,2014年7月27日
201401010301,1000,晴,ダート,良,2014年8月2日
201401010302,1700,晴,ダート,良,2014年8月2日
201401010303,1000,晴,ダート,良,2014年8月2日
201401010304,1700,晴,ダート,良,2014年8月2日
201401010305,1200,晴,芝,良,2014年8月2日
201401010306,2000,晴,芝,良,2014年8月2日
201401010307,1700,晴,ダート,良,2014年8月2日
201401010308,2600,晴,芝,良,2014年8月2日
201401010309,1700,晴,ダート,良,2014年8月2日
201401010310,1800,晴,芝,良,2014年8月2日
201401010311,1200,晴,芝,良,2014年8月2日
201401010312,1800,晴,芝,良,2014年8月2日
201401010401,1800,晴,芝,良,2014年8月3日
201401010402,1000,晴,ダート,良,2014年8月3日
201401010403,1700,晴,ダート,良,2014年8月3日
201401010404,1500,晴,芝,良,2014年8月3日
201401010405,1800,晴,芝,良,2014年8月3日
201401010406,1000,晴,ダート,良,2014年8月3日
201401010407,1700,晴,ダート,良,2014年8月3日
201401010408,2000,晴,芝,良,2014年8月3日
201401010409,1200,晴,芝,良,2014年8月3日
201401010410,1700,晴,ダート,良,2014年8月3日
201401010411,1800,晴,芝,良,2014年8月3日
201401010412,1200,晴,芝,良,2014年8月3日
201401010501,1500,晴,芝,稍重,2014年8月9日
201401010502,2400,晴,ダート,稍重,2014年8月9日
201401010503,1700,晴,ダート,稍重,2014年8月9日
201401010504,1700,晴,ダート,稍重,2014年8月9日
201401010505,1800,晴,芝,良,2014年8月9日
201401010506,2000,晴,芝,良,2014年8月9日
201401010507,1000,晴,ダート,稍重,2014年8月9日
201401010508,1700,晴,ダート,稍重,2014年8月9日
201401010509,1800,晴,芝,良,2014年8月9日
201401010510,1500,晴,芝,良,2014年8月9日
201401010511,2600,晴,芝,良,2014年8月9日
201401010512,1700,晴,ダート,稍重,2014年8月9日
201401010601,1800,晴,芝,良,2014年8月10日
201401010602,1000,晴,ダート,良,2014年8月10日
201401010603,1700,晴,ダート,良,2014年8月10日
201401010604,1200,晴,芝,良,2014年8月10日
201401010605,1500,晴,芝,良,2014年8月10日
201401010606,1700,晴,ダート,良,2014年8月10日
201401010607,1500,晴,芝,良,2014年8月10日
201401010608,2400,晴,ダート,良,2014年8月10日
201401010609,2000,曇,芝,良,2014年8月10日
201401010610,1800,曇,芝,良,2014年8月10日
201401010611,2600,曇,芝,良,2014年8月10日
201401010612,1700,曇,ダート,良,2014年8月10日
201401010701,1700,晴,ダート,良,2014年8月16日
201401010702,1200,晴,芝,良,2014年8月16日
201401010703,1700,晴,ダート,良,2014年8月16日
201401010704,1700,晴,ダート,良,2014年8月16日
201401010705,1800,晴,芝,良,2014年8月16日
201401010706,2000,晴,芝,良,2014年8月16日
201401010707,1000,晴,ダート,良,2014年8月16日
201401010708,1200,晴,芝,良,2014年8月16日
201401010709,1700,晴,ダート,良,2014年8月16日
201401010710,1800,晴,芝,良,2014年8月16日
201401010711,1500,晴,芝,良,2014年8月16日
201401010712,2600,晴,芝,良,2014年8月16日
201401010801,1800,晴,芝,良,2014年8月17日
201401010802,1000,晴,ダート,良,2014年8月17日
201401010803,1700,晴,ダート,良,2014年8月17日
201401010804,1500,晴,芝,良,2014年8月17日
201401010805,1200,晴,芝,良,2014年8月17日
201401010806,1700,晴,ダート,良,2014年8月17日
201401010807,1700,晴,ダート,良,2014年8月17日
201401010808,1500,晴,芝,良,2014年8月17日
201401010809,1800,晴,芝,良,2014年8月17日
201401010810,1000,晴,ダート,良,2014年8月17日
201401010811,1200,晴,芝,良,2014年8月17日
201401010812,2000,晴,芝,良,2014年8月17日
201401020101,1700,晴,ダート,重,2014年8月23日
201401020102,1200,晴,芝,稍重,2014年8月23日
201401020103,1700,晴,ダート,重,2014年8月23日
201401020104,1700,晴,ダート,重,2014年8月23日
201401020105,1500,晴,芝,良,2014年8月23日
201401020106,1200,晴,芝,良,2014年8月23日
201401020107,1000,晴,ダート,稍重,2014年8月23日
201401020108,1700,晴,ダート,稍重,2014年8月23日
201401020109,2400,晴,ダート,稍重,2014年8月23日
201401020110,1800,晴,芝,良,2014年8月23日
