,course_len,weather,race_type,ground_state,date
200801010101,1500,曇,芝,良,2008年8月16日
200801010102,1000,曇,ダート,稍重,2008年8月16日
200801010103,1700,曇,ダート,稍重,2008年8月16日
200801010104,1500,曇,芝,良,2008年8月16日
200801010105,1700,曇,ダート,稍重,2008年8月16日
200801010106,2000,晴,芝,良,2008年8月16日
200801010107,2400,晴,ダート,稍重,2008年8月16日
200801010108,1700,晴,ダート,稍重,2008年8月16日
200801010109,1200,晴,芝,良,2008年8月16日
200801010110,2600,晴,芝,良,2008年8月16日
200801010111,1700,晴,ダート,稍重,2008年8月16日
200801010112,2000,晴,芝,良,2008年8月16日
200801010201,1000,晴,ダート,良,2008年8月17日
200801010202,1700,晴,ダート,良,2008年8月17日
200801010203,1200,晴,芝,良,2008年8月17日
200801010204,1800,晴,芝,良,2008年8月17日
200801010205,1700,晴,ダート,良,2008年8月17日
200801010206,1000,晴,ダート,良,2008年8月17日
200801010207,1700,晴,ダート,良,2008年8月17日
200801010208,1700,晴,ダート,良,2008年8月17日
200801010209,1800,晴,芝,良,2008年8月17日
200801010210,1500,晴,芝,良,2008年8月17日
200801010211,1800,晴,芝,良,2008年8月17日
200801010212,1200,晴,芝,良,2008年8月17日
200801010301,1800,晴,芝,良,2008年8月23日
200801010302,1000,晴,ダート,良,2008年8月23日
200801010303,1700,晴,ダート,良,2008年8月23日
200801010304,1200,晴,芝,良,2008年8月23日
200801010305,1700,晴,ダート,良,2008年8月23日
200801010306,2000,晴,芝,良,2008年8月23日
200801010307,1000,晴,ダート,良,2008年8月23日
200801010308,1700,晴,ダート,良,2008年8月23日
200801010309,1700,晴,ダート,良,2008年8月23日
200801010310,1800,晴,芝,良,2008年8月23日
200801010311,2000,晴,芝,良,2008年8月23日
200801010312,2600,晴,芝,良,2008年8月23日
200801010401,1200,曇,芝,良,2008年8月24日
200801010402,1700,曇,ダート,良,2008年8月24日
200801010403,1700,曇,ダート,良,2008年8月24日
200801010404,1800,曇,芝,良,2008年8月24日
200801010405,1200,曇,芝,良,2008年8月24日
200801010406,1700,曇,ダート,良,2008年8月24日
200801010407,1700,曇,ダート,良,2008年8月24日
200801010408,1500,曇,芝,良,2008年8月24日
200801010409,2000,曇,芝,良,2008年8月24日
200801010410,1700,曇,ダート,良,2008年8月24日
200801010411,2000,曇,芝,良,2008年8月24日
200801010412,1200,曇,芝,良,2008年8月24日
200801010501,1000,曇,ダート,稍重,2008年8月30日
200801010502,1200,曇,芝,稍重,2008年8月30日
200801010503,1000,曇,ダート,稍重,2008年8月30日
200801010504,1500,曇,芝,稍重,2008年8月30日
200801010505,1700,曇,ダート,稍重,2008年8月30日
200801010506,2000,曇,芝,稍重,2008年8月30日
200801010507,1700,曇,ダート,稍重,2008年8月30日
200801010508,1700,曇,ダート,稍重,2008年8月30日
200801010509,1700,曇,ダート,稍重,2008年8月30日
200801010510,1200,曇,芝,良,2008年8月30日
200801010511,2600,曇,芝,良,2008年8月30日
200801010512,1500,曇,芝,良,2008年8月30日
200801010601,1500,曇,芝,良,2008年8月31日
200801010602,1000,晴,ダート,良,2008年8月31日
200801010603,1700,晴,ダート,良,2008年8月31日
200801010604,1800,晴,芝,良,2008年8月31日
200801010605,1700,晴,ダート,良,2008年8月31日
200801010606,1000,晴,ダート,良,2008年8月31日
200801010607,1700,晴,ダート,良,2008年8月31日
200801010608,1000,晴,ダート,良,2008年8月31日
200801010609,1200,晴,芝,良,2008年8月31日
200801010610,1500,晴,芝,良,2008年8月31日
200801010611,2000,晴,芝,良,2008年8月31日
200801010612,1200,晴,芝,良,2008年8月31日
200801010701,1800,晴,芝,良,2008年9月6日
200801010702,1700,晴,ダート,良,2008年9月6日
200801010703,1700,晴,ダート,良,2008年9月6日
200801010704,1200,曇,芝,良,2008年9月6日
