,course_len,weather,race_type,ground_state,date
201601010101,1800,曇,芝,良,2016年7月30日
201601010102,1000,曇,ダート,重,2016年7月30日
201601010103,2400,曇,ダート,重,2016年7月30日
201601010104,1700,曇,ダート,重,2016年7月30日
201601010105,1500,曇,芝,良,2016年7月30日
201601010106,2000,曇,芝,良,2016年7月30日
201601010107,1000,曇,ダート,重,2016年7月30日
201601010108,1200,曇,芝,良,2016年7月30日
201601010109,1700,曇,ダート,稍重,2016年7月30日
201601010110,1500,曇,芝,良,2016年7月30日
201601010111,1800,曇,芝,良,2016年7月30日
201601010112,2600,曇,芝,良,2016年7月30日
201601010201,1200,晴,芝,良,2016年7月31日
201601010202,1000,晴,ダート,稍重,2016年7月31日
201601010203,1700,晴,ダート,稍重,2016年7月31日
201601010204,1500,晴,芝,良,2016年7月31日
201601010205,1800,晴,芝,良,2016年7月31日
201601010206,1700,晴,ダート,稍重,2016年7月31日
201601010207,1800,晴,芝,良,2016年7月31日
201601010208,1700,雨,ダート,良,2016年7月31日
201601010209,2000,曇,芝,良,2016年7月31日
201601010210,1500,曇,芝,良,2016年7月31日
201601010211,1800,曇,芝,良,2016年7月31日
201601010212,1700,曇,ダート,良,2016年7月31日
201601010301,1000,晴,ダート,良,2016年8月6日
201601010302,1700,晴,ダート,良,2016年8月6日
201601010303,2600,晴,芝,良,2016年8月6日
201601010304,1700,晴,ダート,良,2016年8月6日
201601010305,1200,晴,芝,良,2016年8月6日
201601010306,2000,晴,芝,良,2016年8月6日
201601010307,2400,晴,ダート,良,2016年8月6日
201601010308,1200,晴,芝,良,2016年8月6日
201601010309,1700,晴,ダート,良,2016年8月6日
201601010310,1800,晴,芝,良,2016年8月6日
201601010311,2600,晴,芝,良,2016年8月6日
201601010312,1200,晴,芝,良,2016年8月6日
201601010401,1500,晴,芝,良,2016年8月7日
201601010402,1000,晴,ダート,良,2016年8月7日
201601010403,1700,晴,ダート,良,2016年8月7日
201601010404,1200,晴,芝,良,2016年8月7日
201601010405,1800,晴,芝,良,2016年8月7日
201601010406,1700,晴,ダート,良,2016年8月7日
201601010407,1000,晴,ダート,良,2016年8月7日
201601010408,2000,晴,芝,良,2016年8月7日
201601010409,2600,晴,芝,良,2016年8月7日
201601010410,1700,晴,ダート,良,2016年8月7日
201601010411,1200,晴,芝,良,2016年8月7日
201601010412,1800,晴,芝,良,2016年8月7日
201601010501,1700,晴,ダート,良,2016年8月13日
201601010502,1800,晴,芝,良,2016年8月13日
201601010503,1000,晴,ダート,良,2016年8月13日
201601010504,1700,晴,ダート,良,2016年8月13日
201601010505,1500,晴,芝,良,2016年8月13日
201601010506,2000,晴,芝,良,2016年8月13日
201601010507,1700,晴,ダート,良,2016年8月13日
201601010508,1200,晴,芝,良,2016年8月13日
201601010509,1700,晴,ダート,良,2016年8月13日
201601010510,1800,晴,芝,良,2016年8月13日
201601010511,1500,晴,芝,良,2016年8月13日
201601010512,2000,晴,芝,良,2016年8月13日
201601010601,1200,晴,芝,良,2016年8月14日
201601010602,1700,晴,ダート,良,2016年8月14日
201601010603,1200,晴,芝,良,2016年8月14日
