,course_len,weather,race_type,ground_state,date
201101010101,1800,晴,芝,良,2011年8月13日
201101010102,1700,晴,ダート,良,2011年8月13日
201101010103,1000,晴,ダート,良,2011年8月13日
201101010104,1200,晴,芝,良,2011年8月13日
201101010105,1500,晴,芝,良,2011年8月13日
201101010106,1700,晴,ダート,良,2011年8月13日
201101010107,2400,晴,ダート,良,2011年8月13日
201101010108,1200,晴,芝,良,2011年8月13日
201101010109,1700,晴,ダート,良,2011年8月13日
201101010110,2000,晴,芝,良,2011年8月13日
201101010111,1200,晴,芝,良,2011年8月13日
201101010112,1800,晴,芝,良,2011年8月13日
201101010201,1200,曇,芝,良,2011年8月14日
201101010202,1700,曇,ダート,良,2011年8月14日
201101010203,1700,曇,ダート,良,2011年8月14日
201101010204,2000,曇,芝,良,2011年8月14日
201101010205,1700,曇,ダート,良,2011年8月14日
201101010206,1800,曇,芝,良,2011年8月14日
201101010207,1000,曇,ダート,良,2011年8月14日
201101010208,1700,曇,ダート,良,2011年8月14日
201101010209,1500,小雨,芝,良,2011年8月14日
201101010210,1700,小雨,ダート,良,2011年8月14日
201101010211,1800,小雨,芝,良,2011年8月14日
201101010212,2600,小雨,芝,良,2011年8月14日
201101010301,1500,晴,芝,良,2011年8月20日
201101010302,1000,曇,ダート,良,2011年8月20日
201101010303,1700,雨,ダート,良,2011年8月20日
201101010304,1700,雨,ダート,良,2011年8月20日
201101010305,1200,雨,芝,良,2011年8月20日
201101010306,2000,曇,芝,良,2011年8月20日
201101010307,1700,曇,ダート,良,2011年8月20日
201101010308,2600,曇,芝,良,2011年8月20日
201101010309,1700,曇,ダート,良,2011年8月20日
201101010310,1200,晴,芝,良,2011年8月20日
201101010311,2000,晴,芝,良,2011年8月20日
201101010312,1800,晴,芝,良,2011年8月20日
201101010401,1000,晴,ダート,良,2011年8月21日
201101010402,1700,晴,ダート,良,2011年8月21日
201101010403,1700,晴,ダート,良,2011年8月21日
201101010404,1200,晴,芝,良,2011年8月21日
201101010405,1500,晴,芝,良,2011年8月21日
201101010406,1800,晴,芝,良,2011年8月21日
201101010407,1000,晴,ダート,良,2011年8月21日
201101010408,1700,晴,ダート,良,2011年8月21日
201101010409,1800,晴,芝,良,2011年8月21日
201101010410,1200,晴,芝,良,2011年8月21日
201101010411,2000,晴,芝,良,2011年8月21日
201101010412,1700,晴,ダート,良,2011年8月21日
201101010501,1700,晴,ダート,良,2011年8月27日
201101010502,1200,晴,芝,良,2011年8月27日
201101010503,1700,晴,ダート,良,2011年8月27日
201101010504,1000,晴,ダート,良,2011年8月27日
201101010505,1500,晴,芝,良,2011年8月27日
201101010506,2000,晴,芝,良,2011年8月27日
201101010507,1700,晴,ダート,良,2011年8月27日
201101010508,1500,晴,芝,良,2011年8月27日
201101010509,1800,晴,芝,良,2011年8月27日
201101010510,1200,晴,芝,良,2011年8月27日
201101010511,1700,晴,ダート,良,2011年8月27日
201101010512,1500,晴,芝,良,2011年8月27日
201101010601,1800,晴,芝,良,2011年8月28日
201101010602,1700,晴,ダート,良,2011年8月28日
201101010603,1200,晴,芝,良,2011年8月28日
201101010604,1700,晴,ダート,良,2011年8月28日
201101010605,1800,晴,芝,良,2011年8月28日
201101010606,1700,晴,ダート,良,2011年8月28日
201101010607,1000,晴,ダート,良,2011年8月28日
201101010608,2000,晴,芝,良,2011年8月28日
201101010609,1500,晴,芝,良,2011年8月28日
201101010610,1000,晴,ダート,良,2011年8月28日
201101010611,1200,晴,芝,良,2011年8月28日
201101010612,2600,晴,芝,良,2011年8月28日
201101010701,1800,曇,芝,稍重,2011年9月3日
201101010702,1700,曇,ダート,重,2011年9月3日
201101010703,1700,曇,ダート,重,2011年9月3日
201101010704,1200,曇,芝,稍重,2011年9月3日
201101010705,1700,曇,ダート,重,2011年9月3日
201101010706,1200,小雨,芝,稍重,2011年9月3日
201101010707,2000,雨,芝,稍重,2011年9月3日
201101010708,1000,雨,ダート,不良,2011年9月3日
201101010709,1700,雨,ダート,不良,2011年9月3日
201101010710,2600,雨,芝,稍重,2011年9月3日
201101010711,1200,雨,芝,稍重,2011年9月3日
201101010712,2000,雨,芝,稍重,2011年9月3日
201101010801,1500,雨,芝,稍重,2011年9月4日
201101010802,1200,雨,芝,稍重,2011年9月4日
201101010803,1700,雨,ダート,不良,2011年9月4日
201101010804,1700,小雨,ダート,不良,2011年9月4日
201101010805,1800,小雨,芝,稍重,2011年9月4日
201101010806,1000,小雨,ダート,不良,2011年9月4日
201101010807,1700,曇,ダート,不良,2011年9月4日
201101010808,1800,曇,芝,稍重,2011年9月4日
201101010809,1700,曇,ダート,不良,2011年9月4日
201101010810,1500,晴,芝,稍重,2011年9月4日
201101010811,2600,晴,芝,稍重,2011年9月4日
201101010812,1700,晴,ダート,重,2011年9月4日
201101020101,1500,曇,芝,良,2011年9月10日
201101020102,1200,曇,芝,良,2011年9月10日
201101020103,1700,曇,ダート,良,2011年9月10日
201101020104,1700,曇,ダート,良,2011年9月10日
201101020105,1200,曇,芝,良,2011年9月10日
201101020106,2000,晴,芝,良,2011年9月10日
201101020107,1000,晴,ダート,良,2011年9月10日
201101020108,1700,晴,ダート,良,2011年9月10日
201101020109,1500,晴,芝,良,2011年9月10日
201101020110,1800,晴,芝,良,2011年9月10日
201101020111,1700,晴,ダート,良,2011年9月10日
201101020112,2000,晴,芝,良,2011年9月10日
201101020201,1700,曇,ダート,良,2011年9月11日
201101020202,1700,曇,ダート,良,2011年9月11日
201101020203,1200,曇,芝,良,2011年9月11日
201101020204,1000,曇,ダート,良,2011年9月11日
201101020205,1800,曇,芝,良,2011年9月11日
201101020206,2400,曇,ダート,良,2011年9月11日
201101020207,1800,曇,芝,良,2011年9月11日
201101020208,1700,曇,ダート,良,2011年9月11日
201101020209,1200,曇,芝,良,2011年9月11日
201101020210,1800,曇,芝,良,2011年9月11日
201101020211,1500,曇,芝,良,2011年9月11日
201101020212,1700,曇,ダート,良,2011年9月11日
201101020301,1800,小雨,芝,良,2011年9月17日
201101020302,1700,小雨,ダート,良,2011年9月17日
201101020303,1200,小雨,芝,良,2011年9月17日
201101020304,1200,小雨,芝,良,2011年9月17日
201101020305,1700,小雨,ダート,良,2011年9月17日
201101020306,1000,小雨,ダート,良,2011年9月17日
201101020307,1700,小雨,ダート,良,2011年9月17日
201101020308,1500,小雨,芝,良,2011年9月17日
201101020309,2600,小雨,芝,良,2011年9月17日
201101020310,1700,曇,ダート,良,2011年9月17日
201101020311,1200,曇,芝,良,2011年9月17日
201101020312,1700,曇,ダート,良,2011年9月17日
201101020401,1500,曇,芝,良,2011年9月19日
201101020402,1200,曇,芝,良,2011年9月19日
201101020403,1700,曇,ダート,稍重,2011年9月19日
201101020404,1800,曇,芝,良,2011年9月19日
201101020405,1500,曇,芝,良,2011年9月19日
201101020406,1000,曇,ダート,稍重,2011年9月19日
201101020407,1700,曇,ダート,稍重,2011年9月19日
201101020408,1700,曇,ダート,稍重,2011年9月19日
201101020409,1200,曇,芝,良,2011年9月19日
201101020410,1800,曇,芝,良,2011年9月19日
201101020411,1700,曇,ダート,良,2011年9月19日
201101020412,2000,曇,芝,良,2011年9月19日
201101020501,1700,晴,ダート,良,2011年9月24日
201101020502,1800,晴,芝,良,2011年9月24日
201101020503,1700,晴,ダート,良,2011年9月24日
