,course_len,weather,race_type,ground_state,date
201501010101,1500,晴,芝,良,2015年8月1日
201501010102,1000,晴,ダート,良,2015年8月1日
201501010103,2400,晴,ダート,良,2015年8月1日
201501010104,1700,晴,ダート,良,2015年8月1日
201501010105,1500,晴,芝,良,2015年8月1日
201501010106,2000,晴,芝,良,2015年8月1日
201501010107,1000,晴,ダート,良,2015年8月1日
201501010108,1200,晴,芝,良,2015年8月1日
201501010109,1700,晴,ダート,良,2015年8月1日
201501010110,1500,晴,芝,良,2015年8月1日
201501010111,1800,曇,芝,良,2015年8月1日
201501010112,2600,曇,芝,良,2015年8月1日
201501010201,1200,晴,芝,良,2015年8月2日
201501010202,1000,晴,ダート,良,2015年8月2日
201501010203,1700,晴,ダート,良,2015年8月2日
201501010204,1500,晴,芝,良,2015年8月2日
201501010205,1800,晴,芝,良,2015年8月2日
201501010206,1700,晴,ダート,良,2015年8月2日
201501010207,1800,晴,芝,良,2015年8月2日
201501010208,1700,晴,ダート,良,2015年8月2日
201501010209,2000,晴,芝,良,2015年8月2日
201501010210,1500,晴,芝,良,2015年8月2日
201501010211,1800,晴,芝,良,2015年8月2日
201501010212,1700,晴,ダート,良,2015年8月2日
201501010301,1000,晴,ダート,稍重,2015年8月8日
201501010302,1700,晴,ダート,稍重,2015年8月8日
201501010303,1700,晴,ダート,稍重,2015年8月8日
201501010304,1500,晴,芝,良,2015年8月8日
201501010305,1200,晴,芝,良,2015年8月8日
201501010306,2000,晴,芝,良,2015年8月8日
201501010307,2400,晴,ダート,稍重,2015年8月8日
201501010308,2000,晴,芝,良,2015年8月8日
201501010309,1700,晴,ダート,良,2015年8月8日
201501010310,1800,晴,芝,良,2015年8月8日
201501010311,2600,晴,芝,良,2015年8月8日
201501010312,1200,晴,芝,良,2015年8月8日
201501010401,1800,晴,芝,良,2015年8月9日
201501010402,1000,晴,ダート,良,2015年8月9日
201501010403,1700,晴,ダート,良,2015年8月9日
201501010404,1200,晴,芝,良,2015年8月9日
201501010405,1800,晴,芝,良,2015年8月9日
201501010406,1000,晴,ダート,良,2015年8月9日
201501010407,1200,晴,芝,良,2015年8月9日
201501010408,1700,晴,ダート,良,2015年8月9日
201501010409,2600,晴,芝,良,2015年8月9日
201501010410,1700,晴,ダート,良,2015年8月9日
201501010411,1200,晴,芝,良,2015年8月9日
201501010412,1800,晴,芝,良,2015年8月9日
201501010501,1700,曇,ダート,良,2015年8月15日
201501010502,1800,小雨,芝,良,2015年8月15日
201501010503,1000,小雨,ダート,良,2015年8月15日
201501010504,1700,曇,ダート,良,2015年8月15日
201501010505,1500,曇,芝,良,2015年8月15日
201501010506,2600,曇,芝,良,2015年8月15日
201501010507,1700,曇,ダート,稍重,2015年8月15日
201501010508,1200,曇,芝,良,2015年8月15日
201501010509,1700,曇,ダート,稍重,2015年8月15日
201501010510,1800,曇,芝,良,2015年8月15日
201501010511,1500,曇,芝,良,2015年8月15日
201501010512,2000,曇,芝,良,2015年8月15日
201501010601,1200,晴,芝,良,2015年8月16日
201501010602,1700,晴,ダート,良,2015年8月16日
201501010603,1200,曇,芝,良,2015年8月16日
201501010604,2000,曇,芝,良,2015年8月16日
201501010605,1800,雨,芝,良,2015年8月16日
201501010606,1000,曇,ダート,稍重,2015年8月16日
201501010607,1700,雨,ダート,稍重,2015年8月16日
201501010608,1500,曇,芝,良,2015年8月16日
201501010609,1800,曇,芝,良,2015年8月16日
201501010610,2000,曇,芝,良,2015年8月16日
201501010611,1700,曇,ダート,稍重,2015年8月16日
201501010612,1700,曇,ダート,稍重,2015年8月16日
201501020101,1200,晴,芝,良,2015年8月22日
201501020102,1800,晴,芝,良,2015年8月22日
201501020103,1000,晴,ダート,良,2015年8月22日
201501020104,1700,晴,ダート,良,2015年8月22日
201501020105,1500,晴,芝,良,2015年8月22日
201501020106,1700,晴,ダート,良,2015年8月22日
201501020107,2000,晴,芝,良,2015年8月22日
201501020108,1000,晴,ダート,良,2015年8月22日
201501020109,2400,晴,ダート,良,2015年8月22日
201501020110,1200,晴,芝,良,2015年8月22日
201501020111,2600,晴,芝,良,2015年8月22日
201501020112,1700,晴,ダート,良,2015年8月22日
201501020201,1500,曇,芝,良,2015年8月23日
201501020202,2400,曇,ダート,良,2015年8月23日
201501020203,1700,曇,ダート,良,2015年8月23日
201501020204,1200,曇,芝,良,2015年8月23日
201501020205,1800,曇,芝,良,2015年8月23日
201501020206,1000,曇,ダート,良,2015年8月23日
201501020207,1500,曇,芝,良,2015年8月23日
201501020208,1700,晴,ダート,良,2015年8月23日
201501020209,1800,晴,芝,良,2015年8月23日
201501020210,1500,晴,芝,良,2015年8月23日
201501020211,2000,晴,芝,良,2015年8月23日
201501020212,1000,晴,ダート,良,2015年8月23日
201501020301,1500,晴,芝,良,2015年8月29日
201501020302,1700,晴,ダート,良,2015年8月29日
201501020303,1000,晴,ダート,良,2015年8月29日
201501020304,1700,晴,ダート,良,2015年8月29日
201501020305,1700,晴,ダート,良,2015年8月29日
201501020306,2000,晴,芝,良,2015年8月29日
201501020307,1200,晴,芝,良,2015年8月29日
201501020308,1000,晴,ダート,良,2015年8月29日
201501020309,2600,晴,芝,良,2015年8月29日
201501020310,1500,晴,芝,良,2015年8月29日
201501020311,2000,晴,芝,良,2015年8月29日
201501020312,1700,晴,ダート,良,2015年8月29日
201501020401,1000,晴,ダート,良,2015年8月30日
201501020402,1800,晴,芝,良,2015年8月30日
201501020403,1000,晴,ダート,良,2015年8月30日
201501020404,1700,晴,ダート,良,2015年8月30日
201501020405,1200,晴,芝,良,2015年8月30日
201501020406,1500,晴,芝,良,2015年8月30日
201501020407,1700,晴,ダート,良,2015年8月30日
201501020408,2000,晴,芝,良,2015年8月30日
201501020409,1700,晴,ダート,良,2015年8月30日
201501020410,1200,晴,芝,良,2015年8月30日
201501020411,1200,晴,芝,良,2015年8月30日
201501020412,1800,晴,芝,良,2015年8月30日
201501020501,1700,晴,ダート,重,2015年9月5日
201501020502,2000,晴,芝,稍重,2015年9月5日
201501020503,1000,小雨,ダート,重,2015年9月5日
201501020504,1700,曇,ダート,重,2015年9月5日
201501020505,1500,曇,芝,稍重,2015年9月5日
201501020506,1200,晴,芝,稍重,2015年9月5日
201501020507,1700,晴,ダート,重,2015年9月5日
201501020508,2000,晴,芝,稍重,2015年9月5日
201501020509,1700,晴,ダート,重,2015年9月5日
201501020510,1200,晴,芝,稍重,2015年9月5日
201501020511,1800,晴,芝,稍重,2015年9月5日
201501020512,2000,晴,芝,稍重,2015年9月5日
201501020601,1500,晴,芝,良,2015年9月6日
201501020602,1200,晴,芝,良,2015年9月6日
201501020603,1700,晴,ダート,稍重,2015年9月6日
201501020604,1700,晴,ダート,稍重,2015年9月6日
201501020605,2000,晴,芝,良,2015年9月6日
201501020606,1000,晴,ダート,稍重,2015年9月6日
201501020607,1200,晴,芝,良,2015年9月6日
201501020608,1700,晴,ダート,稍重,2015年9月6日
201501020609,2000,晴,芝,良,2015年9月6日
201501020610,1200,晴,芝,良,2015年9月6日
201501020611,2600,晴,芝,良,2015年9月6日
201501020612,1700,晴,ダート,良,2015年9月6日
201502010101,1700,晴,ダート,良,2015年6月20日
201502010102,1200,晴,芝,良,2015年6月20日
201502010103,1000,晴,ダート,良,2015年6月20日
201502010104,1700,晴,ダート,良,2015年6月20日
201502010105,1000,晴,芝,良,2015年6月20日
201502010106,2000,晴,芝,良,2015年6月20日
201502010107,1000,晴,ダート,良,2015年6月20日
201502010108,1200,晴,芝,良,2015年6月20日
201502010109,1700,晴,ダート,良,2015年6月20日
201502010110,2600,晴,芝,良,2015年6月20日
201502010111,1200,晴,芝,良,2015年6月20日
201502010112,1800,晴,芝,良,2015年6月20日
201502010201,1700,晴,ダート,良,2015年6月21日
201502010202,1200,晴,芝,良,2015年6月21日
201502010203,1000,晴,ダート,良,2015年6月21日
201502010204,1700,晴,ダート,良,2015年6月21日
201502010205,1200,晴,芝,良,2015年6月21日
201502010206,1800,晴,芝,良,2015年6月21日
201502010207,1700,晴,ダート,良,2015年6月21日
201502010208,2000,晴,芝,良,2015年6月21日
201502010209,1200,晴,芝,良,2015年6月21日
201502010210,1700,晴,ダート,良,2015年6月21日
201502010211,1200,晴,芝,良,2015年6月21日
201502010212,1800,晴,芝,良,2015年6月21日
201502010301,1000,雨,ダート,良,2015年6月27日
201502010302,1200,雨,芝,良,2015年6月27日
201502010303,1700,雨,ダート,良,2015年6月27日
201502010304,1800,雨,芝,良,2015年6月27日
201502010305,1200,雨,芝,稍重,2015年6月27日
201502010306,1000,雨,ダート,稍重,2015年6月27日
201502010307,1700,雨,ダート,稍重,2015年6月27日
201502010308,1200,雨,芝,稍重,2015年6月27日
201502010309,1700,雨,ダート,稍重,2015年6月27日
201502010310,2000,雨,芝,稍重,2015年6月27日
201502010311,1700,雨,ダート,稍重,2015年6月27日
201502010312,1200,雨,芝,稍重,2015年6月27日
201502010401,1700,曇,ダート,不良,2015年6月28日
201502010402,1200,曇,芝,重,2015年6月28日
201502010403,1700,小雨,ダート,不良,2015年6月28日
201502010404,2600,小雨,芝,重,2015年6月28日
201502010405,1200,小雨,芝,重,2015年6月28日
201502010406,2000,小雨,芝,重,2015年6月28日
201502010407,1000,雨,ダート,不良,2015年6月28日
201502010408,1700,雨,ダート,不良,2015年6月28日
201502010409,1200,雨,芝,重,2015年6月28日
201502010410,1800,雨,芝,重,2015年6月28日
201502010411,1200,雨,芝,重,2015年6月28日
201502010412,1700,雨,ダート,不良,2015年6月28日
201502010501,1200,晴,芝,良,2015年7月4日
201502010502,1700,晴,ダート,稍重,2015年7月4日
201502010503,1000,晴,ダート,稍重,2015年7月4日
201502010504,1700,雨,ダート,稍重,2015年7月4日
201502010505,1000,晴,芝,良,2015年7月4日
201502010506,1800,晴,芝,良,2015年7月4日
201502010507,1000,晴,ダート,稍重,2015年7月4日
201502010508,1200,晴,芝,良,2015年7月4日
201502010509,1700,晴,ダート,稍重,2015年7月4日
201502010510,1800,晴,芝,良,2015年7月4日
201502010511,1200,晴,芝,良,2015年7月4日
201502010512,2000,晴,芝,良,2015年7月4日
201502010601,1000,晴,ダート,良,2015年7月5日
201502010602,1200,晴,芝,良,2015年7月5日
201502010603,1700,晴,ダート,良,2015年7月5日
201502010604,2000,晴,芝,良,2015年7月5日
201502010605,1200,晴,芝,良,2015年7月5日
201502010606,1000,晴,ダート,良,2015年7月5日
201502010607,2000,晴,芝,良,2015年7月5日
201502010608,1700,晴,ダート,良,2015年7月5日
201502010609,2600,晴,芝,良,2015年7月5日
201502010610,1700,晴,ダート,良,2015年7月5日
201502010611,1800,晴,芝,良,2015年7月5日
201502010612,1200,晴,芝,良,2015年7月5日
201502020101,1200,晴,芝,良,2015年7月11日
201502020102,1700,晴,ダート,良,2015年7月11日
201502020103,1200,晴,芝,良,2015年7月11日
201502020104,1700,晴,ダート,良,2015年7月11日
201502020105,1200,晴,芝,良,2015年7月11日
201502020106,1000,晴,ダート,良,2015年7月11日
201502020107,1800,晴,芝,良,2015年7月11日
201502020108,1700,晴,ダート,良,2015年7月11日
201502020109,1800,晴,芝,良,2015年7月11日
201502020110,1200,晴,芝,良,2015年7月11日
201502020111,2000,晴,芝,良,2015年7月11日
201502020112,1000,晴,ダート,良,2015年7月11日
201502020201,1200,晴,芝,良,2015年7月12日
201502020202,1700,晴,ダート,良,2015年7月12日
201502020203,1000,晴,ダート,良,2015年7月12日
201502020204,1200,晴,芝,良,2015年7月12日
201502020205,1800,晴,芝,良,2015年7月12日
201502020206,2000,晴,芝,良,2015年7月12日
201502020207,1000,晴,ダート,良,2015年7月12日
201502020208,1700,晴,ダート,良,2015年7月12日
201502020209,1200,晴,芝,良,2015年7月12日
201502020210,2000,晴,芝,良,2015年7月12日
201502020211,1700,晴,ダート,良,2015年7月12日
201502020212,1800,晴,芝,良,2015年7月12日
201502020301,1000,曇,ダート,良,2015年7月18日
201502020302,1700,曇,ダート,良,2015年7月18日
201502020303,1200,曇,芝,良,2015年7月18日
201502020304,1700,曇,ダート,良,2015年7月18日
201502020305,1200,小雨,芝,良,2015年7月18日
201502020306,1800,小雨,芝,良,2015年7月18日
201502020307,2400,小雨,ダート,良,2015年7月18日
201502020308,1000,曇,ダート,良,2015年7月18日
201502020309,1700,曇,ダート,良,2015年7月18日
201502020310,2000,曇,芝,良,2015年7月18日
201502020311,1200,小雨,芝,良,2015年7月18日
201502020312,1800,曇,芝,良,2015年7月18日
201502020401,1200,小雨,芝,良,2015年7月19日
201502020402,1000,小雨,ダート,良,2015年7月19日
201502020403,1700,曇,ダート,良,2015年7月19日
201502020404,2000,曇,芝,良,2015年7月19日
201502020405,1800,曇,芝,良,2015年7月19日
201502020406,1200,曇,芝,良,2015年7月19日
201502020407,1000,曇,ダート,良,2015年7月19日
201502020408,1700,曇,ダート,良,2015年7月19日
201502020409,1200,曇,芝,良,2015年7月19日
201502020410,1700,曇,ダート,良,2015年7月19日
201502020411,2000,曇,芝,良,2015年7月19日
201502020412,2600,曇,芝,良,2015年7月19日
201502020501,1800,雨,芝,重,2015年7月25日
201502020502,1700,小雨,ダート,不良,2015年7月25日
201502020503,1000,曇,ダート,不良,2015年7月25日
201502020504,1700,曇,ダート,不良,2015年7月25日
201502020505,1200,曇,芝,重,2015年7月25日
201502020506,2000,小雨,芝,重,2015年7月25日
201502020507,1200,小雨,芝,重,2015年7月25日
201502020508,1700,曇,ダート,不良,2015年7月25日
201502020509,1800,曇,芝,重,2015年7月25日
201502020510,2600,曇,芝,重,2015年7月25日
201502020511,1200,曇,芝,重,2015年7月25日
201502020512,1700,曇,ダート,不良,2015年7月25日
201502020601,1200,小雨,芝,稍重,2015年7月26日
201502020602,1000,曇,ダート,重,2015年7月26日
201502020603,1700,曇,ダート,重,2015年7月26日
201502020604,2600,曇,芝,稍重,2015年7月26日
201502020605,1800,小雨,芝,稍重,2015年7月26日
201502020606,1700,曇,ダート,重,2015年7月26日
201502020607,1000,曇,ダート,重,2015年7月26日
201502020608,1200,曇,芝,稍重,2015年7月26日
201502020609,1700,曇,ダート,重,2015年7月26日
