,course_len,weather,race_type,ground_state,date
201901010101,1800,曇,芝,良,2019年7月27日
201901010102,1000,曇,ダート,良,2019年7月27日
201901010103,2400,曇,ダート,良,2019年7月27日
201901010104,2000,晴,芝,良,2019年7月27日
201901010105,1500,晴,芝,良,2019年7月27日
201901010106,1700,晴,ダート,良,2019年7月27日
201901010107,1000,晴,ダート,良,2019年7月27日
201901010108,1200,晴,芝,良,2019年7月27日
201901010109,1700,晴,ダート,良,2019年7月27日
201901010110,1500,晴,芝,良,2019年7月27日
201901010111,1800,晴,芝,良,2019年7月27日
201901010112,2600,晴,芝,良,2019年7月27日
201901010201,1200,晴,芝,良,2019年7月28日
201901010202,1000,晴,ダート,良,2019年7月28日
201901010203,1700,晴,ダート,良,2019年7月28日
201901010204,1500,晴,芝,良,2019年7月28日
201901010205,1800,晴,芝,良,2019年7月28日
201901010206,1700,晴,ダート,良,2019年7月28日
201901010207,2000,晴,芝,良,2019年7月28日
201901010208,1800,晴,芝,良,2019年7月28日
201901010209,1700,晴,ダート,良,2019年7月28日
201901010210,1500,晴,芝,良,2019年7月28日
201901010211,1800,晴,芝,良,2019年7月28日
201901010212,1700,晴,ダート,良,2019年7月28日
201901010301,1000,晴,ダート,良,2019年8月3日
201901010302,1700,晴,ダート,良,2019年8月3日
201901010303,1200,晴,芝,良,2019年8月3日
201901010304,1700,晴,ダート,良,2019年8月3日
201901010305,1200,晴,芝,良,2019年8月3日
201901010306,2000,晴,芝,良,2019年8月3日
201901010307,1700,晴,ダート,良,2019年8月3日
201901010308,1800,晴,芝,良,2019年8月3日
201901010309,2000,晴,芝,良,2019年8月3日
201901010310,1000,晴,ダート,良,2019年8月3日
201901010311,2600,晴,芝,良,2019年8月3日
201901010312,1200,晴,芝,良,2019年8月3日
201901010401,1500,晴,芝,良,2019年8月4日
201901010402,1000,晴,ダート,良,2019年8月4日
201901010403,1700,晴,ダート,良,2019年8月4日
201901010404,2000,晴,芝,良,2019年8月4日
201901010405,1800,晴,芝,良,2019年8月4日
201901010406,1000,晴,ダート,良,2019年8月4日
201901010407,2600,晴,芝,良,2019年8月4日
201901010408,1700,晴,ダート,良,2019年8月4日
201901010409,1200,晴,芝,良,2019年8月4日
201901010410,1800,晴,芝,良,2019年8月4日
201901010411,1200,晴,芝,良,2019年8月4日
201901010412,1700,晴,ダート,良,2019年8月4日
201901010501,1700,曇,ダート,不良,2019年8月10日
201901010502,1800,曇,芝,稍重,2019年8月10日
201901010503,1700,曇,ダート,不良,2019年8月10日
201901010504,1200,曇,芝,稍重,2019年8月10日
201901010505,1500,曇,芝,稍重,2019年8月10日
201901010506,1700,曇,ダート,不良,2019年8月10日
201901010507,2000,曇,芝,稍重,2019年8月10日
201901010508,1000,曇,ダート,重,2019年8月10日
201901010509,1700,曇,ダート,重,2019年8月10日
201901010510,1800,曇,芝,稍重,2019年8月10日
201901010511,1500,曇,芝,稍重,2019年8月10日
201901010512,2000,曇,芝,稍重,2019年8月10日
201901010601,1200,曇,芝,良,2019年8月11日
201901010602,1500,晴,芝,良,2019年8月11日
201901010603,1000,晴,ダート,重,2019年8月11日
201901010604,2600,晴,芝,良,2019年8月11日
201901010605,2000,晴,芝,良,2019年8月11日
201901010606,1500,晴,芝,良,2019年8月11日
201901010607,1700,晴,ダート,稍重,2019年8月11日
201901010608,1200,晴,芝,良,2019年8月11日
201901010609,1800,晴,芝,良,2019年8月11日
201901010610,2000,晴,芝,良,2019年8月11日
201901010611,1700,晴,ダート,稍重,2019年8月11日
201901010612,1700,晴,ダート,稍重,2019年8月11日
201901020101,1800,曇,芝,稍重,2019年8月17日
201901020102,1200,曇,芝,稍重,2019年8月17日
201901020103,1700,曇,ダート,重,2019年8月17日
201901020104,1000,晴,ダート,重,2019年8月17日
201901020105,1500,晴,芝,良,2019年8月17日
201901020106,1700,晴,ダート,重,2019年8月17日
201901020107,1200,晴,芝,良,2019年8月17日
201901020108,1000,晴,ダート,稍重,2019年8月17日
201901020109,1700,晴,ダート,稍重,2019年8月17日
201901020110,2000,晴,芝,良,2019年8月17日
201901020111,2600,晴,芝,良,2019年8月17日
201901020112,1500,晴,芝,良,2019年8月17日
201901020201,1500,晴,芝,良,2019年8月18日
201901020202,2400,晴,ダート,稍重,2019年8月18日
201901020203,2000,晴,芝,良,2019年8月18日
201901020204,1700,晴,ダート,稍重,2019年8月18日
201901020205,1800,晴,芝,良,2019年8月18日
201901020206,1700,晴,ダート,稍重,2019年8月18日
201901020207,2600,晴,芝,良,2019年8月18日
201901020208,1000,晴,ダート,良,2019年8月18日
201901020209,1500,晴,芝,良,2019年8月18日
201901020210,1700,晴,ダート,良,2019年8月18日
201901020211,2000,晴,芝,良,2019年8月18日
201901020212,1200,晴,芝,良,2019年8月18日
201901020301,1500,曇,芝,稍重,2019年8月24日
201901020302,1000,曇,ダート,不良,2019年8月24日
