,course_len,weather,race_type,ground_state,date
201701010101,1800,晴,芝,良,2017年7月29日
201701010102,1000,晴,ダート,良,2017年7月29日
201701010103,2400,晴,ダート,良,2017年7月29日
201701010104,1700,曇,ダート,良,2017年7月29日
201701010105,1500,曇,芝,良,2017年7月29日
201701010106,2000,曇,芝,良,2017年7月29日
201701010107,1000,曇,ダート,良,2017年7月29日
201701010108,1200,曇,芝,良,2017年7月29日
201701010109,1700,曇,ダート,良,2017年7月29日
201701010110,1500,曇,芝,良,2017年7月29日
201701010111,1800,曇,芝,良,2017年7月29日
201701010112,2600,曇,芝,良,2017年7月29日
201701010201,1200,晴,芝,良,2017年7月30日
201701010202,1000,晴,ダート,良,2017年7月30日
201701010203,1700,晴,ダート,良,2017年7月30日
201701010204,1500,晴,芝,良,2017年7月30日
201701010205,1800,晴,芝,良,2017年7月30日
201701010206,1700,晴,ダート,良,2017年7月30日
201701010207,1800,晴,芝,良,2017年7月30日
201701010208,1700,晴,ダート,良,2017年7月30日
201701010209,2000,晴,芝,良,2017年7月30日
201701010210,1700,晴,ダート,良,2017年7月30日
201701010211,1800,晴,芝,良,2017年7月30日
201701010212,1500,曇,芝,良,2017年7月30日
201701010301,1000,晴,ダート,良,2017年8月5日
201701010302,1700,晴,ダート,良,2017年8月5日
201701010303,1200,晴,芝,良,2017年8月5日
201701010304,1700,晴,ダート,良,2017年8月5日
201701010305,1200,晴,芝,良,2017年8月5日
201701010306,2600,晴,芝,良,2017年8月5日
201701010307,1000,晴,ダート,良,2017年8月5日
201701010308,2000,晴,芝,良,2017年8月5日
201701010309,1700,晴,ダート,良,2017年8月5日
201701010310,1800,晴,芝,良,2017年8月5日
201701010311,2600,晴,芝,良,2017年8月5日
201701010312,1200,晴,芝,良,2017年8月5日
201701010401,1500,晴,芝,良,2017年8月6日
201701010402,1000,晴,ダート,良,2017年8月6日
201701010403,1700,晴,ダート,良,2017年8月6日
201701010404,2000,晴,芝,良,2017年8月6日
201701010405,1800,晴,芝,良,2017年8月6日
201701010406,2400,晴,ダート,良,2017年8月6日
201701010407,1700,晴,ダート,良,2017年8月6日
201701010408,1200,晴,芝,良,2017年8月6日
201701010409,2600,晴,芝,良,2017年8月6日
201701010410,1700,晴,ダート,良,2017年8月6日
201701010411,1200,晴,芝,良,2017年8月6日
201701010412,1800,晴,芝,良,2017年8月6日
201701010501,1700,雨,ダート,稍重,2017年8月12日
201701010502,1800,雨,芝,稍重,2017年8月12日
201701010503,1000,雨,ダート,重,2017年8月12日
201701010504,1700,雨,ダート,不良,2017年8月12日
201701010505,1500,雨,芝,重,2017年8月12日
201701010506,2000,雨,芝,重,2017年8月12日
201701010507,1700,雨,ダート,不良,2017年8月12日
201701010508,1200,雨,芝,重,2017年8月12日
201701010509,1700,小雨,ダート,不良,2017年8月12日
201701010510,1800,小雨,芝,重,2017年8月12日
201701010511,1500,小雨,芝,重,2017年8月12日
201701010512,2000,小雨,芝,重,2017年8月12日
201701010601,1200,曇,芝,稍重,2017年8月13日
201701010602,1700,曇,ダート,重,2017年8月13日
201701010603,1200,曇,芝,稍重,2017年8月13日
201701010604,1500,曇,芝,稍重,2017年8月13日
201701010605,1800,曇,芝,稍重,2017年8月13日
201701010606,1000,曇,ダート,重,2017年8月13日
201701010607,1700,曇,ダート,重,2017年8月13日
201701010608,1500,曇,芝,稍重,2017年8月13日
201701010609,1800,曇,芝,稍重,2017年8月13日
201701010610,2000,曇,芝,稍重,2017年8月13日
201701010611,1700,曇,ダート,重,2017年8月13日
201701010612,1700,曇,ダート,重,2017年8月13日
201701020101,1800,晴,芝,良,2017年8月19日
201701020102,1200,晴,芝,良,2017年8月19日
201701020103,1700,晴,ダート,良,2017年8月19日
201701020104,1000,晴,ダート,良,2017年8月19日
201701020105,1500,晴,芝,良,2017年8月19日
201701020106,1700,晴,ダート,良,2017年8月19日
201701020107,2000,晴,芝,良,2017年8月19日
201701020108,2400,晴,ダート,良,2017年8月19日
201701020109,1700,晴,ダート,良,2017年8月19日
201701020110,1800,晴,芝,良,2017年8月19日
201701020111,2600,晴,芝,良,2017年8月19日
201701020112,1500,晴,芝,良,2017年8月19日
201701020201,1500,晴,芝,良,2017年8月20日
201701020202,2400,晴,ダート,良,2017年8月20日
201701020203,1700,晴,ダート,良,2017年8月20日
201701020204,1200,晴,芝,良,2017年8月20日
201701020205,1800,晴,芝,良,2017年8月20日
201701020206,1000,晴,ダート,良,2017年8月20日
201701020207,1700,晴,ダート,良,2017年8月20日
201701020208,2000,晴,芝,良,2017年8月20日
201701020209,1500,晴,芝,良,2017年8月20日
201701020210,1000,晴,ダート,良,2017年8月20日
201701020211,2000,晴,芝,良,2017年8月20日
201701020212,1200,晴,芝,良,2017年8月20日
201701020301,1000,晴,ダート,稍重,2017年8月26日
201701020302,1500,晴,芝,良,2017年8月26日
201701020303,1700,晴,ダート,稍重,2017年8月26日
201701020304,1500,晴,芝,良,2017年8月26日
201701020305,1700,晴,ダート,稍重,2017年8月26日
201701020306,2000,曇,芝,良,2017年8月26日
201701020307,1200,曇,芝,良,2017年8月26日
201701020308,1000,晴,ダート,稍重,2017年8月26日
201701020309,2600,晴,芝,良,2017年8月26日
201701020310,1200,曇,芝,良,2017年8月26日
201701020311,2000,曇,芝,良,2017年8月26日
201701020312,1700,晴,ダート,稍重,2017年8月26日
201701020401,1800,曇,芝,良,2017年8月27日
201701020402,1700,晴,ダート,良,2017年8月27日
201701020403,1000,晴,ダート,良,2017年8月27日
201701020404,1700,晴,ダート,良,2017年8月27日
201701020405,1200,晴,芝,良,2017年8月27日
201701020406,2600,晴,芝,良,2017年8月27日
201701020407,1700,晴,ダート,良,2017年8月27日
201701020408,2000,晴,芝,良,2017年8月27日
201701020409,1500,晴,芝,良,2017年8月27日
201701020410,1700,晴,ダート,良,2017年8月27日
201701020411,1200,晴,芝,良,2017年8月27日
201701020412,1800,晴,芝,良,2017年8月27日
201701020501,1700,曇,ダート,良,2017年9月2日
201701020502,2000,曇,芝,良,2017年9月2日
201701020503,1700,曇,ダート,良,2017年9月2日
