,course_len,weather,race_type,ground_state,date
201801010101,1800,晴,芝,良,2018年7月28日
201801010102,1000,晴,ダート,良,2018年7月28日
201801010103,2400,晴,ダート,良,2018年7月28日
201801010104,1700,晴,ダート,良,2018年7月28日
201801010105,1500,晴,芝,良,2018年7月28日
201801010106,2000,晴,芝,良,2018年7月28日
201801010107,1000,晴,ダート,良,2018年7月28日
201801010108,1200,晴,芝,良,2018年7月28日
201801010109,1700,晴,ダート,良,2018年7月28日
201801010110,1500,晴,芝,良,2018年7月28日
201801010111,1800,晴,芝,良,2018年7月28日
201801010112,2600,晴,芝,良,2018年7月28日
201801010201,1200,晴,芝,良,2018年7月29日
201801010202,1000,晴,ダート,良,2018年7月29日
201801010203,1700,晴,ダート,良,2018年7月29日
201801010204,1500,晴,芝,良,2018年7月29日
201801010205,1800,晴,芝,良,2018年7月29日
201801010206,1700,晴,ダート,良,2018年7月29日
201801010207,2000,晴,芝,良,2018年7月29日
201801010208,1700,晴,ダート,良,2018年7月29日
201801010209,1800,晴,芝,良,2018年7月29日
201801010210,1700,晴,ダート,良,2018年7月29日
201801010211,1800,晴,芝,良,2018年7月29日
201801010212,1500,晴,芝,良,2018年7月29日
201801010301,1000,曇,ダート,良,2018年8月4日
201801010302,1700,曇,ダート,良,2018年8月4日
201801010303,1200,曇,芝,良,2018年8月4日
201801010304,1700,晴,ダート,良,2018年8月4日
201801010305,1200,晴,芝,良,2018年8月4日
201801010306,2600,晴,芝,良,2018年8月4日
201801010307,1000,晴,ダート,良,2018年8月4日
201801010308,2000,晴,芝,良,2018年8月4日
201801010309,1700,晴,ダート,良,2018年8月4日
201801010310,1800,曇,芝,良,2018年8月4日
201801010311,2600,曇,芝,良,2018年8月4日
201801010312,1200,曇,芝,良,2018年8月4日
201801010401,1500,曇,芝,良,2018年8月5日
201801010402,1000,曇,ダート,良,2018年8月5日
201801010403,1700,曇,ダート,良,2018年8月5日
201801010404,2000,曇,芝,良,2018年8月5日
201801010405,1800,晴,芝,良,2018年8月5日
201801010406,2400,晴,ダート,良,2018年8月5日
201801010407,1700,晴,ダート,良,2018年8月5日
201801010408,1200,晴,芝,良,2018年8月5日
201801010409,2600,晴,芝,良,2018年8月5日
201801010410,1700,晴,ダート,良,2018年8月5日
201801010411,1200,晴,芝,良,2018年8月5日
201801010412,1800,晴,芝,良,2018年8月5日
201801010501,1700,曇,ダート,不良,2018年8月11日
201801010502,1800,曇,芝,稍重,2018年8月11日
201801010503,1000,曇,ダート,不良,2018年8月11日
201801010504,1700,曇,ダート,不良,2018年8月11日
