,course_len,weather,race_type,ground_state,date
200901010101,1700,曇,ダート,良,2009年6月20日
200901010102,1000,曇,ダート,良,2009年6月20日
200901010103,1700,曇,ダート,良,2009年6月20日
200901010104,1000,曇,芝,良,2009年6月20日
200901010105,1700,曇,ダート,良,2009年6月20日
200901010106,2000,曇,芝,良,2009年6月20日
200901010107,1000,曇,ダート,良,2009年6月20日
200901010108,2600,曇,芝,良,2009年6月20日
200901010109,1700,曇,ダート,良,2009年6月20日
200901010110,1700,曇,ダート,良,2009年6月20日
200901010111,1800,曇,芝,良,2009年6月20日
200901010112,1700,曇,ダート,良,2009年6月20日
200901010201,1700,曇,ダート,良,2009年6月21日
200901010202,1000,曇,ダート,良,2009年6月21日
200901010203,1700,曇,ダート,良,2009年6月21日
200901010204,1200,晴,芝,良,2009年6月21日
200901010205,1800,晴,芝,良,2009年6月21日
200901010206,1200,晴,芝,良,2009年6月21日
200901010207,1000,晴,ダート,良,2009年6月21日
200901010208,1700,晴,ダート,良,2009年6月21日
200901010209,2000,晴,芝,良,2009年6月21日
200901010210,1700,晴,ダート,良,2009年6月21日
200901010211,1200,晴,芝,良,2009年6月21日
200901010212,1700,晴,ダート,良,2009年6月21日
200901010301,1700,晴,ダート,良,2009年6月27日
200901010302,1000,晴,ダート,良,2009年6月27日
200901010303,1700,晴,ダート,良,2009年6月27日
200901010304,1000,晴,ダート,良,2009年6月27日
200901010305,2000,晴,芝,良,2009年6月27日
200901010306,1200,晴,芝,良,2009年6月27日
200901010307,1000,晴,ダート,良,2009年6月27日
200901010308,1800,晴,芝,良,2009年6月27日
200901010309,1700,晴,ダート,良,2009年6月27日
200901010310,1700,晴,ダート,良,2009年6月27日
200901010311,1200,晴,芝,良,2009年6月27日
200901010312,1700,晴,ダート,良,2009年6月27日
200901010401,1700,晴,ダート,良,2009年6月28日
200901010402,1000,晴,ダート,良,2009年6月28日
200901010403,1700,晴,ダート,良,2009年6月28日
200901010404,1200,晴,芝,良,2009年6月28日
200901010405,1700,晴,ダート,良,2009年6月28日
200901010406,1800,晴,芝,良,2009年6月28日
200901010407,1000,晴,ダート,良,2009年6月28日
200901010408,1500,晴,芝,良,2009年6月28日
200901010409,1200,晴,芝,良,2009年6月28日
200901010410,1700,晴,ダート,良,2009年6月28日
200901010411,2000,晴,芝,良,2009年6月28日
200901010412,1700,晴,ダート,良,2009年6月28日
200901010501,1200,曇,芝,良,2009年7月4日
200901010502,1000,曇,ダート,良,2009年7月4日
200901010503,1700,曇,ダート,良,2009年7月4日
200901010504,1200,曇,芝,良,2009年7月4日
200901010505,1700,曇,ダート,良,2009年7月4日
200901010506,1200,曇,芝,良,2009年7月4日
200901010507,1000,曇,ダート,良,2009年7月4日
200901010508,2000,曇,芝,良,2009年7月4日
200901010509,1700,曇,ダート,良,2009年7月4日
200901010510,1700,曇,ダート,良,2009年7月4日
200901010511,1800,曇,芝,良,2009年7月4日
200901010512,1700,曇,ダート,良,2009年7月4日
200901010601,1700,晴,ダート,良,2009年7月5日
200901010602,1000,晴,ダート,良,2009年7月5日
200901010603,1700,晴,ダート,良,2009年7月5日
200901010604,1200,曇,芝,良,2009年7月5日
200901010605,2000,曇,芝,良,2009年7月5日
200901010606,2400,曇,ダート,良,2009年7月5日
200901010607,1000,曇,ダート,良,2009年7月5日
200901010608,1700,曇,ダート,良,2009年7月5日
200901010609,1200,曇,芝,良,2009年7月5日
200901010610,1700,曇,ダート,良,2009年7月5日
200901010611,1200,曇,芝,良,2009年7月5日
