,course_len,weather,race_type,ground_state,date
201302010101,1700,雨,ダート,稍重,2013年6月15日
201302010102,1000,雨,ダート,稍重,2013年6月15日
201302010103,1700,雨,ダート,稍重,2013年6月15日
201302010104,1200,雨,芝,稍重,2013年6月15日
201302010105,1000,小雨,芝,稍重,2013年6月15日
201302010106,1800,曇,芝,稍重,2013年6月15日
201302010107,1000,曇,ダート,稍重,2013年6月15日
201302010108,1700,曇,ダート,稍重,2013年6月15日
201302010109,1200,曇,芝,稍重,2013年6月15日
201302010110,1700,曇,ダート,稍重,2013年6月15日
201302010111,1200,曇,芝,良,2013年6月15日
201302010112,2000,晴,芝,良,2013年6月15日
201302010201,1000,曇,ダート,良,2013年6月16日
201302010202,1700,曇,ダート,良,2013年6月16日
201302010203,1000,曇,ダート,良,2013年6月16日
201302010204,2000,曇,芝,良,2013年6月16日
201302010205,1200,曇,芝,良,2013年6月16日
201302010206,1700,曇,ダート,良,2013年6月16日
201302010207,1000,曇,ダート,良,2013年6月16日
201302010208,1200,曇,芝,良,2013年6月16日
201302010209,1700,曇,ダート,良,2013年6月16日
201302010210,2600,曇,芝,良,2013年6月16日
201302010211,1200,曇,芝,良,2013年6月16日
201302010212,1800,曇,芝,良,2013年6月16日
201302010301,1700,晴,ダート,良,2013年6月22日
201302010302,1200,晴,芝,良,2013年6月22日
201302010303,1700,晴,ダート,良,2013年6月22日
201302010304,1800,晴,芝,良,2013年6月22日
201302010305,1200,晴,芝,良,2013年6月22日
201302010306,1000,晴,ダート,良,2013年6月22日
201302010307,1700,晴,ダート,良,2013年6月22日
201302010308,2000,晴,芝,良,2013年6月22日
201302010309,1700,曇,ダート,良,2013年6月22日
201302010310,1800,曇,芝,良,2013年6月22日
201302010311,1700,曇,ダート,良,2013年6月22日
201302010312,1200,曇,芝,良,2013年6月22日
201302010401,1700,晴,ダート,良,2013年6月23日
201302010402,1000,晴,ダート,良,2013年6月23日
201302010403,1200,晴,芝,良,2013年6月23日
201302010404,1700,晴,ダート,良,2013年6月23日
201302010405,1200,晴,芝,良,2013年6月23日
201302010406,2600,晴,芝,良,2013年6月23日
201302010407,1000,晴,ダート,良,2013年6月23日
201302010408,1700,晴,ダート,良,2013年6月23日
201302010409,1200,晴,芝,良,2013年6月23日
201302010410,1800,晴,芝,良,2013年6月23日
201302010411,1700,晴,ダート,良,2013年6月23日
201302010412,1200,晴,芝,良,2013年6月23日
201302010501,1200,曇,芝,良,2013年6月29日
