,course_len,weather,race_type,ground_state,date
201001010101,1800,晴,芝,良,2010年8月14日
201001010102,1000,晴,ダート,良,2010年8月14日
201001010103,1700,晴,ダート,良,2010年8月14日
201001010104,1500,晴,芝,良,2010年8月14日
201001010105,1700,晴,ダート,良,2010年8月14日
201001010106,2000,晴,芝,良,2010年8月14日
201001010107,2400,晴,ダート,良,2010年8月14日
201001010108,2000,晴,芝,良,2010年8月14日
201001010109,1200,晴,芝,良,2010年8月14日
201001010110,1700,晴,ダート,良,2010年8月14日
201001010111,1800,晴,芝,良,2010年8月14日
201001010112,1200,晴,芝,良,2010年8月14日
201001010201,1200,晴,芝,良,2010年8月15日
201001010202,1700,晴,ダート,良,2010年8月15日
201001010203,1700,曇,ダート,良,2010年8月15日
201001010204,1800,曇,芝,良,2010年8月15日
201001010205,1700,曇,ダート,良,2010年8月15日
201001010206,1200,曇,芝,良,2010年8月15日
201001010207,1000,曇,ダート,良,2010年8月15日
201001010208,1700,曇,ダート,良,2010年8月15日
201001010209,1800,曇,芝,良,2010年8月15日
201001010210,1700,小雨,ダート,良,2010年8月15日
201001010211,2600,曇,芝,良,2010年8月15日
201001010212,1500,曇,芝,良,2010年8月15日
201001010301,1000,晴,ダート,良,2010年8月21日
201001010302,1700,晴,ダート,良,2010年8月21日
201001010303,1700,晴,ダート,良,2010年8月21日
201001010304,1500,晴,芝,良,2010年8月21日
201001010305,1700,晴,ダート,良,2010年8月21日
201001010306,1200,晴,芝,良,2010年8月21日
201001010307,1000,晴,ダート,良,2010年8月21日
201001010308,1800,晴,芝,良,2010年8月21日
201001010309,2000,晴,芝,良,2010年8月21日
201001010310,1700,晴,ダート,良,2010年8月21日
201001010311,1200,晴,芝,良,2010年8月21日
201001010312,2600,晴,芝,良,2010年8月21日
201001010401,1500,晴,芝,良,2010年8月22日
201001010402,1000,晴,ダート,良,2010年8月22日
201001010403,1200,晴,芝,良,2010年8月22日
201001010404,1800,晴,芝,良,2010年8月22日
201001010405,1700,晴,ダート,良,2010年8月22日
201001010406,2000,晴,芝,良,2010年8月22日
201001010407,1700,晴,ダート,良,2010年8月22日
201001010408,1800,晴,芝,良,2010年8月22日
201001010409,2000,晴,芝,良,2010年8月22日
201001010410,1700,晴,ダート,良,2010年8月22日
201001010411,1700,晴,ダート,良,2010年8月22日
201001010412,1200,晴,芝,良,2010年8月22日
201001010501,1700,晴,ダート,良,2010年8月28日
201001010502,1800,晴,芝,良,2010年8月28日
201001010503,1700,晴,ダート,良,2010年8月28日
201001010504,1500,晴,芝,良,2010年8月28日
201001010505,1000,晴,ダート,良,2010年8月28日
201001010506,2000,晴,芝,良,2010年8月28日
201001010507,1000,晴,ダート,良,2010年8月28日
201001010508,1200,晴,芝,良,2010年8月28日
201001010509,1700,晴,ダート,良,2010年8月28日
201001010510,1700,晴,ダート,良,2010年8月28日
201001010511,2600,晴,芝,良,2010年8月28日
201001010512,1500,晴,芝,良,2010年8月28日
201001010601,1200,晴,芝,良,2010年8月29日
201001010602,1000,晴,ダート,良,2010年8月29日
201001010603,1700,晴,ダート,良,2010年8月29日
201001010604,1800,晴,芝,良,2010年8月29日
201001010605,1700,晴,ダート,良,2010年8月29日
201001010606,2000,晴,芝,良,2010年8月29日
201001010607,1700,晴,ダート,良,2010年8月29日
201001010608,1500,晴,芝,良,2010年8月29日
201001010609,1200,晴,芝,良,2010年8月29日
201001010610,1800,晴,芝,良,2010年8月29日
201001010611,1000,晴,ダート,良,2010年8月29日
201001010612,1500,晴,芝,良,2010年8月29日
201001010701,1800,晴,芝,良,2010年9月4日
201001010702,1700,晴,ダート,稍重,2010年9月4日
201001010703,1700,晴,ダート,稍重,2010年9月4日
201001010704,1200,晴,芝,良,2010年9月4日
