,course_len,weather,race_type,ground_state,date
201201010101,1500,晴,芝,良,2012年7月21日
201201010102,1000,晴,ダート,良,2012年7月21日
201201010103,1700,晴,ダート,良,2012年7月21日
201201010104,2000,晴,芝,良,2012年7月21日
201201010105,1500,晴,芝,良,2012年7月21日
201201010106,1700,晴,ダート,良,2012年7月21日
201201010107,1000,晴,ダート,良,2012年7月21日
201201010108,1800,晴,芝,良,2012年7月21日
201201010109,1700,晴,ダート,良,2012年7月21日
201201010110,2600,晴,芝,良,2012年7月21日
201201010111,1700,晴,ダート,良,2012年7月21日
201201010112,1500,晴,芝,良,2012年7月21日
201201010201,1200,晴,芝,良,2012年7月22日
201201010202,1700,晴,ダート,良,2012年7月22日
201201010203,1500,晴,芝,良,2012年7月22日
201201010204,1700,晴,ダート,良,2012年7月22日
201201010205,1800,晴,芝,良,2012年7月22日
201201010206,1700,晴,ダート,良,2012年7月22日
201201010207,1700,晴,ダート,良,2012年7月22日
201201010208,1200,晴,芝,良,2012年7月22日
201201010209,2400,晴,ダート,良,2012年7月22日
201201010210,2000,晴,芝,良,2012年7月22日
201201010211,1200,晴,芝,良,2012年7月22日
201201010212,1800,晴,芝,良,2012年7月22日
201201010301,1800,晴,芝,良,2012年7月28日
201201010302,1700,晴,ダート,良,2012年7月28日
201201010303,1000,晴,ダート,良,2012年7月28日
201201010304,2400,晴,ダート,良,2012年7月28日
201201010305,1500,晴,芝,良,2012年7月28日
201201010306,1200,晴,芝,良,2012年7月28日
201201010307,1700,晴,ダート,良,2012年7月28日
201201010308,1000,晴,ダート,良,2012年7月28日
201201010309,1700,晴,ダート,良,2012年7月28日
201201010310,1200,晴,芝,良,2012年7月28日
201201010311,1800,晴,芝,良,2012年7月28日
201201010312,1800,晴,芝,良,2012年7月28日
201201010401,1000,晴,ダート,良,2012年7月29日
201201010402,1700,晴,ダート,良,2012年7月29日
201201010403,2000,晴,芝,良,2012年7月29日
201201010404,1700,晴,ダート,良,2012年7月29日
201201010405,1800,晴,芝,良,2012年7月29日
201201010406,1200,晴,芝,良,2012年7月29日
201201010407,2600,晴,芝,良,2012年7月29日
201201010408,1700,晴,ダート,良,2012年7月29日
201201010409,1800,晴,芝,良,2012年7月29日
201201010410,1700,晴,ダート,良,2012年7月29日
201201010411,1800,晴,芝,良,2012年7月29日
