,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201801010101,1,1,1,コントラチェック,54,ルメール,1:50.1,35.2,1.1,1,牝,2,458,4
1,201801010101,2,6,6,ブラックウォーリア,54,岩田康誠,1:51.3,36.1,7.6,2,牡,2,488,6
2,201801010101,3,3,3,テングレート,54,丸山元気,1:51.4,35.8,8.3,3,牡,2,480,-6
3,201801010101,4,4,4,イチザテイオー,54,松岡正海,1:52.3,36.3,46.7,5,牡,2,460,-8
4,201801010101,5,5,5,トーセンイマジン,52,横山武史,1:53.5,37.1,39.8,4,牡,2,470,-8
5,201801010101,6,2,2,ロングファイナリー,54,古川吉洋,1:54.0,38.0,50.8,6,牡,2,468,-12
0,201801010102,1,3,3,タイセイパルフェ,54,モレイラ,0:59.9,35.6,2.1,1,牝,3,456,-6
1,201801010102,2,6,7,アップティルナウ,54,岩田康誠,0:59.9,36.1,3.6,2,牝,3,470,0
2,201801010102,3,5,5,イナンナ,54,長岡禎仁,1:00.0,36.2,113.9,10,牝,3,462,14
3,201801010102,4,7,10,ノーブルキッス,52,横山武史,1:00.0,35.0,29.4,7,牝,3,408,-4
4,201801010102,5,6,8,ダノンチェリー,54,小崎綾也,1:00.1,35.9,9.9,4,牝,3,458,-10
5,201801010102,6,7,9,シゲルトウガラシ,54,勝浦正樹,1:00.2,35.4,183.7,12,牝,3,442,0
6,201801010102,7,8,12,ネオヴォイス,54,ルメール,1:00.3,36.4,5.3,3,牝,3,440,-8
7,201801010102,8,8,11,グノーシス,54,城戸義政,1:01.2,36.7,37.6,8,牝,3,456,2
8,201801010102,9,4,4,リリーコサージュ,54,丸山元気,1:01.4,37.3,12.4,5,牝,3,476,2
9,201801010102,10,5,6,ミスベル,54,黛弘人,1:01.6,37.0,180.5,11,牝,3,402,-10
10,201801010102,11,2,2,テイエムブルグッコ,52,菊沢一樹,1:01.9,37.9,72.2,9,牝,3,436,-2
11,201801010102,12,1,1,チャーミングホープ,54,池添謙一,1:01.9,37.5,22.2,6,牝,3,440,-8
0,201801010103,1,3,3,イグレット,52,横山武史,2:36.5,38.5,3.3,1,牝,3,454,4
1,201801010103,2,1,1,エンドウォーニング,56,長岡禎仁,2:36.5,38.7,27.8,7,牡,3,478,0
2,201801010103,3,7,7,ファイトアローン,56,松岡正海,2:36.6,38.8,10.8,5,牡,3,532,0
3,201801010103,4,5,5,ロイヤルアフェア,56,ルメール,2:36.6,38.9,3.8,3,牡,3,486,-14
4,201801010103,5,2,2,ビヨンド,54,菊沢一樹,2:37.9,39.8,47.0,10,牡,3,430,-4
5,201801010103,6,4,4,キタノテイオウ,55,木幡初也,2:38.4,39.5,27.9,9,牡,3,450,-8
6,201801010103,7,8,10,プレビアス,55,井上敏樹,2:38.6,40.5,27.9,8,牡,3,514,-4
7,201801010103,8,6,6,テーオーエンブレム,56,藤岡佑介,2:39.9,41.7,8.4,4,牡,3,478,-6
8,201801010103,9,8,9,サンライズコロン,56,丸山元気,2:40.9,42.0,3.5,2,牡,3,468,-2
9,201801010103,10,7,8,キングオブハーツ,56,小崎綾也,2:41.6,42.3,14.7,6,牡,3,478,2
0,201801010104,1,8,14,ブルレジーナ,54,モレイラ,1:47.3,38.5,4.3,2,牝,3,438,-20
1,201801010104,2,5,7,ディナミーデン,56,横山典弘,1:47.3,38.5,2.3,1,牡,3,456,-8
2,201801010104,3,5,8,シネマソングス,54,藤岡佑介,1:48.2,38.8,13.4,4,牝,3,422,0
3,201801010104,4,3,3,ブロッコリー,56,岩田康誠,1:48.3,39.6,17.4,7,牡,3,466,-10
4,201801010104,5,7,11,ピエナシニスター,54,古川吉洋,1:48.7,39.5,16.0,5,牝,3,448,-4
5,201801010104,6,7,12,ウェルズレジェンド,54,菊沢一樹,1:48.8,39.6,302.2,13,牡,3,470,-12
6,201801010104,7,6,10,タイセイレーベン,56,勝浦正樹,1:49.2,40.7,41.5,10,牡,3,514,-4
7,201801010104,8,4,6,アイムワン,56,川島信二,1:49.4,39.1,16.3,6,牡,3,458,-6
8,201801010104,9,4,5,シーザライト,54,池添謙一,1:49.6,40.8,34.5,9,牝,3,494,6
9,201801010104,10,1,1,ホッコーエレノア,54,小崎綾也,1:49.7,41.4,4.9,3,牝,3,508,0
10,201801010104,11,3,4,リネンゴール,51,三津谷隼,1:49.7,40.2,59.4,12,牝,3,420,-8
11,201801010104,12,8,13,パチュリー,54,丸山元気,1:49.9,40.8,23.5,8,牝,3,450,14
12,201801010104,13,2,2,メイケイフウジン,56,藤岡康太,1:50.0,41.5,46.1,11,牡,3,534,-8
13,201801010104,14,6,9,グランカナーレ,55,井上敏樹,1:50.5,39.5,590.8,14,牡,3,440,-4
0,201801010105,1,8,13,レーヴドカナロア,54,ルメール,1:31.8,34.8,5.2,2,牝,2,434,0
1,201801010105,2,7,10,アルママ,54,柴田大知,1:31.9,35.1,1.7,1,牡,2,430,0
2,201801010105,3,4,5,アドマイヤスコール,54,モレイラ,1:32.0,35.3,5.5,3,牡,2,476,0
3,201801010105,4,6,8,ヒルノアニモ,54,古川吉洋,1:32.0,35.5,20.5,5,牡,2,500,0
4,201801010105,5,1,1,スポーカンテソーロ,54,吉田隼人,1:32.2,35.9,11.9,4,牝,2,516,0
5,201801010105,6,3,3,ライデンシャフト,52,横山武史,1:32.3,35.0,124.6,10,牝,2,464,0
6,201801010105,7,7,11,エムアイグランツ,52,菊沢一樹,1:32.4,35.6,89.1,8,牡,2,502,0
7,201801010105,8,4,4,プレイングラン,53,木幡初也,1:32.6,35.7,188.1,11,牡,2,454,0
8,201801010105,9,8,12,トーセンベリーニ,54,藤岡康太,1:32.6,35.5,99.1,9,牡,2,462,0
9,201801010105,10,2,2,サクララージャン,54,勝浦正樹,1:33.2,36.6,59.1,7,牡,2,486,0
10,201801010105,11,5,6,ニューヨークタヤス,54,池添謙一,1:33.2,36.8,30.2,6,牡,2,450,0
11,201801010105,12,6,9,オーロセレステ,53,井上敏樹,1:34.8,38.1,492.3,13,牝,2,412,0
