,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201001010101,1,8,10,マーベラスカイザー,54,古川吉洋,1:50.7,35.5,13.7,5,牡,2,470,0
1,201001010101,2,6,7,マイネルヴァルム,54,丹内祐次,1:50.9,36.2,7.6,4,牡,2,438,16
2,201001010101,3,1,1,エスタンシア,54,秋山真一,1:51.0,36.0,16.3,6,牡,2,482,-2
3,201001010101,4,4,4,モエロック,54,藤岡佑介,1:51.2,36.5,53.1,9,牡,2,470,0
4,201001010101,5,7,9,アドマイヤシケーダ,54,ホワイト,1:51.2,36.3,2.0,1,牝,2,412,-6
5,201001010101,6,5,5,ライジングサン,54,岩田康誠,1:51.5,35.9,71.5,11,牡,2,494,0
6,201001010101,7,3,3,リアライズブレイク,54,横山典弘,1:51.7,36.3,5.2,2,牡,2,444,-6
7,201001010101,8,6,6,ティアラグラマラス,54,丸田恭介,1:52.0,36.8,22.1,7,牝,2,434,-6
8,201001010101,9,8,11,デルマガネーシャ,54,中谷雄太,1:52.0,37.0,28.4,8,牡,2,446,0
9,201001010101,10,7,8,ディーエスラムール,54,勝浦正樹,1:52.2,37.3,6.0,3,牡,2,506,2
10,201001010101,11,2,2,アグネススコール,54,長谷川浩,1:52.4,36.9,71.4,10,牡,2,470,-4
0,201001010102,1,2,2,メイショウヴァルナ,53,川須栄彦,0:59.7,35.8,4.7,3,牡,3,442,-14
1,201001010102,2,4,4,ケイエスジャパン,56,藤岡佑介,1:00.0,36.3,5.3,4,牡,3,490,-4
2,201001010102,3,7,9,メグチャン,54,岩田康誠,1:00.2,36.0,3.0,1,牝,3,422,0
3,201001010102,4,1,1,ハヤブサイッポン,56,吉田隼人,1:00.8,36.2,10.0,5,牡,3,480,-2
4,201001010102,5,6,8,サバンナ,56,小林徹弥,1:00.8,36.4,4.4,2,牡,3,424,-16
5,201001010102,6,7,10,グランデメディコ,56,上村洋行,1:00.9,37.0,19.7,7,牡,3,458,0
6,201001010102,7,3,3,ダイキリー,56,武英智,1:01.0,36.7,15.7,6,牡,3,512,-4
7,201001010102,8,8,11,サバイヴアゲン,56,大野拓弥,1:01.3,36.3,46.8,9,牡,3,528,8
8,201001010102,9,8,12,ボーレア,56,丸田恭介,1:01.3,36.4,25.4,8,牡,3,488,14
9,201001010102,10,5,5,シルクフリューゲル,56,丹内祐次,1:01.5,36.5,127.4,10,牡,3,474,2
10,201001010102,11,5,6,セイオウボ,51,西村太一,1:01.6,37.2,350.7,12,牝,3,486,10
11,201001010102,12,6,7,スプリングエンネ,56,黛弘人,1:07.4,38.9,166.2,11,牡,3,512,0
0,201001010103,1,5,7,ブレイブフェイス,56,秋山真一,1:47.8,39.1,62.4,8,牡,3,468,-4
1,201001010103,2,6,9,オメガキングコング,56,三浦皇成,1:47.9,38.8,19.6,4,牡,3,486,2
2,201001010103,3,7,11,ガラパ,56,ホワイト,1:47.9,38.8,2.7,2,牡,3,480,-12
3,201001010103,4,1,1,グランフィールド,54,大野拓弥,1:48.0,39.4,30.1,6,牝,3,418,-2
4,201001010103,4,2,2,スカイサーファー,56,岩田康誠,1:48.0,38.7,7.7,3,牡,3,482,-2
5,201001010103,6,8,13,サトノファルコン,56,横山典弘,1:48.3,39.4,1.8,1,牡,3,480,0
6,201001010103,7,4,5,マイネルガンバ,56,丹内祐次,1:48.5,39.1,36.8,7,牡,3,496,-8
7,201001010103,8,7,10,カトルズメテオ,56,勝浦正樹,1:48.5,38.9,23.0,5,牡,3,490,-4
8,201001010103,9,3,3,マイフェイヴァー,56,黛弘人,1:49.0,38.9,165.6,10,牡,3,458,4
9,201001010103,10,8,12,テイエムスプリング,54,斉藤正弘,1:49.1,39.5,198.1,12,牝,3,432,2
10,201001010103,11,6,8,レイディオドリーム,54,宮崎北斗,1:49.4,39.3,284.9,13,牝,3,402,-16
11,201001010103,12,5,6,クリノイマジン,56,吉田隼人,1:49.7,40.0,137.0,9,牡,3,446,-6
12,201001010103,13,4,4,ベルモントリコ,54,中谷雄太,1:50.2,41.3,185.0,11,牝,3,414,-12
0,201001010104,1,7,9,グランプリボス,54,岩田康誠,1:29.5,35.1,11.3,6,牡,2,508,0
1,201001010104,2,3,3,オールアズワン,54,安藤勝己,1:29.6,34.9,2.9,1,牡,2,466,0
2,201001010104,3,8,12,ラベンダーラッシー,54,ホワイト,1:30.3,36.1,8.5,4,牝,2,440,0
3,201001010104,4,6,8,ジョウノアラミス,54,藤岡佑介,1:30.5,35.1,48.3,9,牡,2,470,0
4,201001010104,5,1,1,メーヴェ,54,横山典弘,1:30.8,36.0,4.7,3,牝,2,462,0
5,201001010104,6,5,6,アドマイヤアキーダ,54,勝浦正樹,1:30.8,35.9,16.6,7,牝,2,434,0
6,201001010104,7,6,7,ショウナンカライス,54,中舘英二,1:31.1,36.1,95.2,11,牡,2,516,0
7,201001010104,8,4,4,マイネルムジカ,54,大野拓弥,1:31.2,36.1,11.1,5,牡,2,476,0
8,201001010104,9,5,5,コスモインスパイア,54,三浦皇成,1:31.4,36.2,3.8,2,牡,2,450,0
9,201001010104,10,2,2,シゲルトウカツカン,54,長谷川浩,1:32.8,37.1,85.5,10,牡,2,456,0
10,201001010104,11,8,11,ベルモントスコッチ,54,丸田恭介,1:33.1,37.9,32.3,8,牡,2,454,0
11,201001010104,12,7,10,レモンマートル,54,黛弘人,1:34.7,39.7,248.6,12,牝,2,492,0
0,201001010105,1,3,3,レオプレシャス,56,ホワイト,1:46.8,37.3,8.1,7,牡,3,472,-4
1,201001010105,2,1,1,ボストンプラチナ,56,宮崎北斗,1:47.4,37.8,5.1,2,牡,3,438,-4
2,201001010105,3,5,7,ダイビングキャッチ,56,岩田康誠,1:47.5,37.7,7.3,4,牡,3,444,0
3,201001010105,4,8,13,トーセンディオール,54,上村洋行,1:47.7,38.3,7.7,5,牝,3,466,6
4,201001010105,5,5,6,グルーヴィーコマチ,54,大野拓弥,1:47.8,38.5,28.6,8,牝,3,446,-4
5,201001010105,6,2,2,クジュウクシマ,56,藤岡佑介,1:47.9,38.0,3.8,1,牡,3,452,-6
6,201001010105,7,7,11,クルールヴィオラ,54,勝浦正樹,1:48.5,38.5,6.3,3,牝,3,420,-4
7,201001010105,8,6,8,ラヴァリーグロリア,54,古川吉洋,1:48.8,38.6,66.0,11,牝,3,452,4
8,201001010105,9,6,9,アスカノイオン,54,武幸四郎,1:49.8,39.5,32.6,10,牝,3,466,-6
