,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,200801010101,1,4,6,ディアジーナ,54,四位洋文,1:31.0,35.6,4.3,2,牝,2,468,0
1,200801010101,2,8,14,アイディンパワー,54,藤田伸二,1:31.4,35.9,5.2,4,牡,2,460,0
2,200801010101,3,1,1,ウインリーズン,54,安藤勝己,1:31.5,36.4,3.1,1,牡,2,442,2
3,200801010101,4,7,11,ヴァンエボン,54,小林徹弥,1:31.6,35.5,23.0,8,牡,2,482,-4
4,200801010101,5,2,2,ラヴェリータ,54,長谷川浩,1:31.6,35.7,21.9,6,牝,2,484,-20
5,200801010101,6,3,3,ドリームクェーサー,54,池添謙一,1:32.0,36.2,4.6,3,牡,2,452,-4
6,200801010101,7,5,7,ヨイチラブソング,52,三浦皇成,1:32.0,36.6,10.4,5,牡,2,464,-10
7,200801010101,8,6,10,マキノワールド,54,大野拓弥,1:32.0,36.0,154.0,12,牡,2,446,-6
8,200801010101,9,4,5,メジロデューチン,53,北村友一,1:32.1,36.4,111.7,11,牡,2,418,-8
9,200801010101,10,8,13,スマイルミッキー,54,横山典弘,1:32.3,37.0,22.9,7,牡,2,474,2
10,200801010101,11,6,9,スズカフレーム,54,芹沢純一,1:32.7,36.6,81.2,10,牡,2,462,0
11,200801010101,12,3,4,ヨシインゾーン,54,武幸四郎,1:32.7,37.1,46.9,9,牡,2,460,-4
12,200801010101,13,5,8,コード,51,荻野琢真,1:32.9,37.1,163.7,13,牡,2,466,-2
13,200801010101,14,7,12,マイネルヘリオス,54,津村明秀,1:33.4,38.2,227.4,14,牡,2,440,2
0,200801010102,1,8,10,テイクザスカイ,52,三浦皇成,0:59.0,35.6,3.7,2,牝,3,466,-4
1,200801010102,2,3,3,コアレスカポーテ,56,池添謙一,0:59.4,35.3,58.9,6,牡,3,476,6
2,200801010102,3,6,7,バードダムール,54,鈴来直人,0:59.4,36.3,7.8,3,牝,3,444,2
3,200801010102,4,7,8,ファジーネーブル,54,津村明秀,0:59.5,36.3,17.8,5,牝,3,438,2
4,200801010102,5,7,9,アスターヘイロー,56,秋山真一,0:59.5,35.9,9.6,4,牡,3,466,0
5,200801010102,6,1,1,アドマイヤアモーレ,54,安藤勝己,1:00.2,35.9,1.6,1,牝,3,472,-4
6,200801010102,7,5,5,ヤマサエレガント,53,北村友一,1:00.2,36.7,97.9,9,牝,3,448,20
7,200801010102,8,2,2,キングセンプー,56,武英智,1:00.4,36.4,74.6,8,牡,3,468,-8
8,200801010102,9,6,6,アラクネベガ,54,大野拓弥,1:00.5,36.6,70.0,7,牝,3,422,-2
9,200801010102,10,4,4,マイディアダーリン,54,河北通,1:01.0,37.1,196.5,11,牝,3,488,0
10,200801010102,11,8,11,マンテンテイオー,56,芹沢純一,1:01.1,37.7,143.5,10,牡,3,466,8
0,200801010103,1,5,6,フェイドレスシーン,54,安藤勝己,1:46.4,38.4,2.1,1,牝,3,424,-4
1,200801010103,2,4,4,クインマキシマム,54,梶晃啓,1:46.4,39.5,30.2,8,牝,3,428,-4
2,200801010103,3,3,3,デルマビーナス,54,横山典弘,1:46.8,40.0,2.9,2,牝,3,444,-2
3,200801010103,4,5,7,ジェイケイクリス,52,三浦皇成,1:47.4,39.8,8.2,3,牝,3,466,6
4,200801010103,5,8,13,セイントプラチナ,54,津村明秀,1:47.4,40.3,13.0,4,牝,3,444,8
5,200801010103,6,1,1,アルカイクスマイル,54,古川吉洋,1:47.4,40.2,21.7,5,牝,3,440,2
6,200801010103,7,6,9,レッドウッド,54,藤田伸二,1:49.0,41.1,31.2,9,牝,3,496,-4
7,200801010103,8,2,2,シシャモフレンド,54,小原義之,1:49.2,39.5,61.6,10,牝,3,486,8
8,200801010103,9,7,11,ウエスタンサマンサ,54,長谷川浩,1:49.4,41.4,254.6,13,牝,3,464,20
9,200801010103,10,6,8,チェスナットシチー,54,大野拓弥,1:50.5,43.6,29.6,7,牝,3,440,6
10,200801010103,11,4,5,エリザベートクロス,54,秋山真一,1:50.9,42.2,132.8,11,牝,3,472,18
11,200801010103,12,7,10,クレージーエッグ,51,荻野琢真,1:51.3,44.1,199.0,12,牝,3,428,8
12,200801010103,13,8,12,ブライティアカイト,54,松田大作,1:55.9,46.2,27.0,6,牝,3,474,8
0,200801010104,1,7,12,アグネスクイック,52,三浦皇成,1:30.9,36.1,3.6,2,牡,2,516,0
1,200801010104,2,1,1,カネトシコウショウ,54,秋山真一,1:31.0,36.1,116.8,13,牡,2,468,0
2,200801010104,3,3,4,ジェルミナル,54,武幸四郎,1:31.0,36.0,10.2,4,牝,2,466,0
3,200801010104,4,2,2,オーシャンロード,54,藤田伸二,1:31.2,36.6,2.2,1,牝,2,454,0
4,200801010104,5,8,14,ガリアーノ,54,池添謙一,1:31.3,36.3,19.5,7,牡,2,442,0
5,200801010104,6,6,9,ピロートーク,54,横山典弘,1:31.6,36.3,40.0,11,牝,2,412,0
6,200801010104,7,5,7,ババロア,54,四位洋文,1:31.7,36.7,18.4,5,牡,2,472,0
7,200801010104,8,6,10,マイネルロワイヤル,54,津村明秀,1:31.8,36.7,30.4,9,牡,2,452,0
8,200801010104,9,3,3,プラネットクルーズ,54,長谷川浩,1:31.9,36.7,26.8,8,牡,2,454,0
9,200801010104,10,4,5,レティセラ,54,安藤勝己,1:32.1,36.7,8.7,3,牝,2,400,0
10,200801010104,11,8,13,タイセイラプター,54,芹沢純一,1:32.9,37.2,217.9,14,牡,2,472,0
