,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201901010101,1,1,1,ゴルコンダ,54,ルメール,1:48.3,36.5,1.4,1,牡,2,518,-16
1,201901010101,2,3,3,プントファイヤー,54,岩田康誠,1:50.1,38.2,3.5,2,牡,2,496,-8
2,201901010101,3,4,4,ラグリマスネグラス,51,団野大成,1:50.9,38.8,46.6,6,牡,2,546,6
3,201901010101,4,8,9,キタノコドウ,51,菅原明良,1:51.5,38.5,56.8,7,牡,2,458,-8
4,201901010101,5,5,5,ネモフィラブルー,54,川島信二,1:51.7,38.9,140.3,9,牡,2,436,0
5,201901010101,6,8,8,マイネルラクスマン,54,丹内祐次,1:52.1,40.1,9.7,3,牡,2,480,8
6,201901010101,7,2,2,サンモンテベロ,54,黛弘人,1:52.5,39.6,114.7,8,牝,2,450,2
7,201901010101,8,7,7,エスカレーション,54,藤岡佑介,1:52.5,39.5,26.1,5,牝,2,448,-4
8,201901010101,9,6,6,セイウンジュリア,54,池添謙一,1:52.6,40.3,16.4,4,牝,2,470,0
0,201901010102,1,7,7,イエスサンキュー,54,加藤祥太,0:59.2,35.7,4.3,4,牝,3,492,2
1,201901010102,2,1,1,ユキエチャン,53,横山武史,0:59.4,34.6,19.8,6,牝,3,474,4
2,201901010102,3,6,6,キョウエイメサイア,54,松岡正海,0:59.5,36.2,13.9,5,牝,3,456,0
3,201901010102,4,8,8,サウンドシュリット,54,松田大作,0:59.8,36.4,27.2,8,牝,3,452,6
4,201901010102,5,4,4,ローマノキュウジツ,51,団野大成,1:00.0,36.4,4.1,2,牝,3,490,-2
5,201901010102,6,3,3,プリモパンサー,51,菅原明良,1:00.0,35.4,27.0,7,牝,3,446,-8
6,201901010102,7,2,2,ローブドール,54,ルメール,1:00.2,36.3,2.9,1,牝,3,426,-6
7,201901010102,8,5,5,カーヴィー,54,藤岡康太,1:00.3,36.6,4.2,3,牝,3,432,0
0,201901010103,1,2,2,リヴィエラ,56,柴山雄一,2:34.6,38.1,4.5,3,牡,3,494,-6
1,201901010103,2,6,6,オウケンランボー,56,岩田康誠,2:34.7,38.7,3.6,1,牡,3,518,3
2,201901010103,3,8,11,エイシンフォーラン,56,菱田裕二,2:35.0,39.4,14.0,7,牡,3,484,2
3,201901010103,4,8,10,ロズ,54,荻野極,2:35.3,38.9,59.1,11,牝,3,432,-4
4,201901010103,5,5,5,スキンズマッチ,56,国分恭介,2:35.7,39.5,6.4,4,牡,3,432,-2
5,201901010103,6,4,4,シナリオライン,56,丹内祐次,2:36.0,40.4,57.6,10,牡,3,500,-2
6,201901010103,7,6,7,トラインコンパス,55,横山武史,2:36.7,40.2,9.2,5,牡,3,424,-4
7,201901010103,8,1,1,ラドミュージシャン,53,団野大成,2:37.4,39.7,21.8,8,牡,3,474,-20
8,201901010103,9,3,3,サングリーンベイ,56,横山和生,2:37.4,40.6,11.5,6,牡,3,486,0
9,201901010103,10,7,9,アオイハヤブサ,54,藤岡康太,2:41.4,45.0,53.3,9,牝,3,446,-14
10,201901010103,11,7,8,デルマシャンティ,56,ルメール,2:43.5,45.4,4.1,2,牡,3,516,-4
0,201901010104,1,6,10,プライムシスター,54,岩田康誠,2:02.2,35.3,9.5,3,牝,3,492,-2
1,201901010104,2,4,6,レンジャーガール,54,国分恭介,2:02.2,35.5,5.7,2,牝,3,446,-2
2,201901010104,3,5,8,ゼットレオ,56,池添謙一,2:02.3,35.4,9.8,4,牡,3,432,0
3,201901010104,4,5,7,バイキングクラップ,56,ルメール,2:02.4,35.3,1.6,1,牡,3,502,-6
4,201901010104,5,3,3,ヴィオラピューロ,54,吉田隼人,2:02.7,36.4,27.3,7,牝,3,468,18
5,201901010104,6,8,14,コウソクラッシュ,56,柴山雄一,2:02.9,34.7,252.4,14,セ,3,438,-22
6,201901010104,7,7,12,アナザードリーム,56,菱田裕二,2:03.1,36.6,14.1,6,牡,3,456,-6
7,201901010104,8,7,11,ノアキセキ,53,横山武史,2:03.3,36.2,10.0,5,牝,3,458,-2
