,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,202001010101,1,6,6,ウインルーア,54,横山武史,1:49.7,35.6,16.0,3,牝,2,438,4
1,202001010101,2,2,2,アークライト,54,ルメール,1:50.0,35.8,1.9,2,牡,2,510,0
2,202001010101,3,3,3,ギャラントウォリア,54,池添謙一,1:50.1,36.2,1.8,1,牡,2,482,-6
3,202001010101,4,1,1,ジュンブーケ,52,亀田温心,1:50.5,36.7,22.2,4,牝,2,442,0
4,202001010101,5,4,4,キタノマンゲツ,54,藤岡康太,1:51.0,36.6,55.7,5,牡,2,426,-8
5,202001010101,6,5,5,アイフレンズ,54,黛弘人,1:52.7,38.0,73.9,6,牝,2,426,-2
0,202001010102,1,3,4,バトルピアサー,54,川島信二,1:46.2,39.0,2.7,1,牝,3,406,-2
1,202001010102,2,8,14,バーミーズ,54,丹内祐次,1:46.9,39.6,6.3,3,牝,3,456,0
2,202001010102,3,8,13,ノーブルローズ,54,大野拓弥,1:47.0,38.8,19.1,8,牝,3,446,-2
3,202001010102,4,4,6,グッドラックスター,54,荻野琢真,1:47.1,39.1,3.9,2,牝,3,434,-6
4,202001010102,5,3,3,デルマルビー,54,横山和生,1:47.3,39.2,16.8,6,牝,3,462,-4
5,202001010102,6,7,12,アマデトワール,54,藤岡康太,1:47.8,39.6,15.9,5,牝,3,446,4
6,202001010102,7,6,9,ミツルザビクトリー,52,亀田温心,1:48.0,39.5,56.1,12,牝,3,438,-4
7,202001010102,8,5,8,キモンルビー,51,山田敬士,1:48.0,40.7,41.8,11,牝,3,462,0
8,202001010102,9,1,1,ムーンフェアリー,51,秋山稔樹,1:48.1,40.2,22.3,9,牝,3,450,6
9,202001010102,10,4,5,シゲルハクチョウザ,54,加藤祥太,1:48.2,40.7,25.4,10,牝,3,444,-2
10,202001010102,11,6,10,フェデネージュ,54,岩田康誠,1:48.4,40.6,18.6,7,牝,3,444,4
11,202001010102,12,2,2,ラインキャロット,54,石川裕紀,1:48.9,40.6,133.5,14,牝,3,430,4
12,202001010102,13,7,11,サイモンベラーノ,54,柴山雄一,1:49.3,41.6,9.3,4,牝,3,476,4
13,202001010102,14,5,7,クイックスタディ,53,団野大成,1:50.9,43.2,120.9,13,牝,3,462,-8
0,202001010103,1,2,2,フリークアウト,54,藤岡佑介,1:28.5,35.0,2.9,2,牝,3,448,-2
1,202001010103,2,4,6,クァンタムリープ,56,ルメール,1:28.8,35.4,2.3,1,牡,3,474,4
2,202001010103,3,7,12,クレアーレ,54,亀田温心,1:28.8,34.8,25.0,7,牡,3,448,-12
3,202001010103,4,3,4,タツハグンセイ,56,古川吉洋,1:29.0,35.8,12.9,5,牡,3,464,4
4,202001010103,5,7,11,ラブアンバサダー,54,武豊,1:29.1,34.9,7.4,3,牝,3,430,0
5,202001010103,6,8,14,ルーターズ,54,藤岡康太,1:29.1,35.4,10.3,4,牝,3,402,0
6,202001010103,7,5,8,レッドキュリアス,54,横山武史,1:29.1,35.2,89.8,10,牝,3,422,-4
7,202001010103,8,3,3,ミッキーローズ,53,団野大成,1:29.2,35.5,85.8,9,牝,3,406,-10
8,202001010103,8,8,13,ブライドグルーム,56,浜中俊,1:29.2,35.8,25.6,8,牡,3,448,4
9,202001010103,10,6,9,エンジェルエナ,54,池添謙一,1:29.3,35.2,90.1,11,牝,3,426,0
10,202001010103,11,6,10,ミルキーハート,54,丹内祐次,1:29.4,35.8,23.8,6,牝,3,448,0
11,202001010103,12,4,5,アンネローゼ,54,荻野琢真,1:29.9,35.5,211.3,13,牝,3,444,-6
12,202001010103,13,1,1,ステーションワン,56,国分恭介,1:30.5,36.4,239.1,14,牡,3,456,-6
13,202001010103,14,5,7,カドーダンジュ,54,大野拓弥,1:50.3,49.0,116.7,12,牝,3,456,0
0,202001010104,1,8,13,エンペラーズパレス,56,水口優也,1:46.3,38.2,42.2,10,牡,3,492,-2
1,202001010104,2,2,2,マイネルパイオニア,56,横山武史,1:46.6,38.1,4.6,2,牡,3,462,-2
2,202001010104,3,6,10,ウォータージョイ,56,国分恭介,1:46.8,38.0,37.1,9,牡,3,476,-6
3,202001010104,4,5,7,モズナガレボシ,56,大野拓弥,1:46.9,38.3,5.2,4,牡,3,488,6
4,202001010104,5,3,3,サウンドトラック,56,ルメール,1:46.9,38.1,3.3,1,牡,3,508,10
5,202001010104,6,7,12,シェノン,56,吉田隼人,1:47.0,38.4,33.1,8,牡,3,468,2
6,202001010104,7,5,8,サイモンバトラー,56,黛弘人,1:47.0,38.2,210.0,14,牡,3,458,-2
7,202001010104,8,1,1,トクシーズファー,54,横山和生,1:47.2,38.2,49.3,12,牝,3,434,2
8,202001010104,9,4,6,ウラワザテクニック,56,丹内祐次,1:47.3,38.5,13.9,6,牡,3,476,2
9,202001010104,10,7,11,サーストンシカゴ,56,菱田裕二,1:47.5,38.3,12.2,5,牡,3,500,-2
10,202001010104,11,4,5,サクセスリバース,55,団野大成,1:47.5,38.2,44.9,11,牡,3,500,0
11,202001010104,12,3,4,エスポワールミノル,56,藤岡康太,1:47.9,39.5,5.1,3,牡,3,526,6
12,202001010104,13,6,9,ハラハラドキドキ,54,亀田温心,1:48.2,38.9,16.7,7,牡,3,456,4
13,202001010104,14,8,14,カラヤン,53,秋山稔樹,1:48.5,39.0,138.4,13,牡,3,470,-6
0,202001010105,1,2,2,フクノラプラーニュ,54,横山和生,1:11.3,35.3,15.9,4,牡,2,478,0
1,202001010105,2,5,5,スマートジュリアン,54,武豊,1:11.3,35.7,2.8,2,牝,2,470,0
2,202001010105,3,1,1,ジオパークマグマ,54,柴山雄一,1:11.5,35.3,27.3,6,牡,2,434,0
3,202001010105,4,4,4,レゼール,54,ルメール,1:12.2,36.1,1.7,1,牝,2,438,0
4,202001010105,5,3,3,ネオペトリコール,51,秋山稔樹,1:12.3,35.8,17.2,5,牝,2,402,0
5,202001010105,6,6,6,ユイノザッパー,54,吉田隼人,1:12.3,35.2,8.5,3,牡,2,496,0
0,202001010106,1,1,1,ユークレース,54,横山武史,2:01.3,35.8,4.6,3,牝,3,462,-2
1,202001010106,2,5,8,ネオストーリー,56,浜中俊,2:01.3,35.3,20.0,6,牡,3,450,-6
2,202001010106,3,2,2,シュルシャガナ,56,池添謙一,2:01.3,35.6,2.5,1,牡,3,432,-6
3,202001010106,4,5,9,コスモタイシ,56,丹内祐次,2:01.6,35.7,15.1,5,牡,3,470,2
4,202001010106,5,4,7,サトノヴィーナス,52,亀田温心,2:01.7,36.1,3.5,2,牝,3,460,-12
5,202001010106,6,7,12,フルールエトワール,53,団野大成,2:02.0,35.5,36.6,8,牝,3,480,-10
6,202001010106,7,4,6,サンシャインキッド,56,菱田裕二,2:02.0,35.5,89.0,13,牡,3,430,0
7,202001010106,8,7,13,マサノルビー,54,吉田隼人,2:02.1,35.8,145.6,15,牝,3,414,-4
8,202001010106,9,2,3,ロッソビアンコ,54,石川裕紀,2:02.1,36.3,55.8,11,牝,3,444,2
9,202001010106,10,3,4,ウォルフライエ,56,水口優也,2:02.3,36.1,46.8,9,牡,3,470,-6
10,202001010106,11,6,11,ヴァイスリヒト,56,古川吉洋,2:02.8,37.0,13.8,4,牡,3,454,-6
11,202001010106,12,3,5,ミラードムーン,56,荻野琢真,2:03.9,37.6,54.1,10,牡,3,504,-6
12,202001010106,13,6,10,ウイングシューズ,54,大野拓弥,2:05.5,39.4,92.9,14,牝,3,392,2
13,202001010106,14,8,14,ウルスラ,54,藤岡康太,2:05.8,40.1,26.9,7,牝,3,402,0
