,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201501010101,1,2,2,マカーオーン,54,勝浦正樹,1:29.5,36.1,7.3,4,牡,2,466,-2
1,201501010101,2,8,10,ショウザイシンホー,54,三浦皇成,1:29.5,36.4,8.2,5,牡,2,488,-4
2,201501010101,3,7,7,インジャスティス,54,ルメール,1:30.2,37.1,4.5,3,牡,2,508,0
3,201501010101,4,6,6,ルミナスエレメント,54,福永祐一,1:30.3,36.5,2.8,1,牡,2,466,0
4,201501010101,5,8,9,ジュアンマリエ,51,加藤祥太,1:30.8,37.7,3.8,2,牝,2,444,4
5,201501010101,6,1,1,コスモベガス,54,黛弘人,1:30.9,37.0,14.7,6,牡,2,476,0
6,201501010101,7,7,8,ネクストヒロイン,54,嶋田純次,1:31.7,38.2,94.4,8,牝,2,420,-6
7,201501010101,8,4,4,マイネルアクティヴ,54,丹内祐次,1:32.0,38.3,142.9,9,牡,2,422,0
8,201501010101,9,5,5,サフランナイト,54,松岡正海,1:32.7,38.5,235.2,10,牡,2,410,-6
9,201501010101,10,3,3,ジュンノキボウ,54,田中博康,1:33.1,39.9,90.1,7,牝,2,470,0
0,201501010102,1,2,2,シゲルハナガサ,54,藤田伸二,1:00.5,37.3,8.0,4,牝,3,442,-2
1,201501010102,2,6,8,カワキタキャッスル,51,加藤祥太,1:00.5,37.2,2.5,1,牝,3,474,4
2,201501010102,3,7,9,トリアンドルス,54,勝浦正樹,1:00.7,37.3,6.1,3,牝,3,450,-12
3,201501010102,4,5,6,ラビットボーテ,54,黛弘人,1:00.9,36.8,10.5,5,牝,3,420,-8
4,201501010102,5,5,5,トーセンプリズム,54,横山典弘,1:01.3,37.5,25.2,8,牝,3,476,-8
5,201501010102,6,6,7,エビスフラワー,54,水口優也,1:01.5,37.9,70.2,10,牝,3,464,-4
6,201501010102,7,4,4,サンエバレット,51,井上敏樹,1:01.7,37.3,146.5,11,牝,3,458,16
7,201501010102,8,7,10,イプノーズ,54,丸田恭介,1:01.9,37.8,28.4,9,牝,3,478,20
8,201501010102,9,3,3,ココロナルハ,54,田中健,1:02.0,38.8,4.3,2,牝,3,430,-12
9,201501010102,10,1,1,オーヴェール,51,城戸義政,1:02.3,38.6,10.9,6,牝,3,406,-6
10,201501010102,11,8,11,キョウワエルフ,54,竹之下智,1:02.4,38.5,391.7,12,牝,3,438,10
11,201501010102,12,8,12,マジックベル,54,古川吉洋,1:03.3,39.8,16.9,7,牝,3,480,-2
0,201501010103,1,6,6,セイカアヴァンサ,56,柴山雄一,2:34.8,39.7,1.3,1,牡,3,448,6
1,201501010103,2,5,5,ジャコバイティズム,56,ルメール,2:35.3,39.7,5.2,2,牡,3,464,2
2,201501010103,3,7,7,ハッスルカフェ,56,四位洋文,2:36.1,40.4,10.6,3,牡,3,472,0
3,201501010103,4,4,4,ライブリファースト,56,水口優也,2:37.1,40.9,17.1,5,牡,3,480,-2
