,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
0,201701010101,1,3,3,リープフラウミルヒ,54,丹内祐次,1:49.4,35.3,3.0,2,牝,2,406,-4
1,201701010101,2,5,5,ディバインブリーズ,54,ルメール,1:49.5,35.1,1.5,1,牡,2,484,-4
2,201701010101,3,7,7,スズカワークシップ,54,福永祐一,1:50.1,36.0,6.2,3,牡,2,450,-16
3,201701010101,4,1,1,ハイタイド,54,蛯名正義,1:50.1,35.5,31.1,5,牡,2,442,-10
4,201701010101,5,2,2,クリノバルテュス,53,木幡初也,1:51.3,37.0,22.8,4,牡,2,472,-18
5,201701010101,6,4,4,ハッシュレート,53,井上敏樹,1:51.9,37.5,82.9,7,牡,2,470,-6
6,201701010101,7,6,6,プロローグ,53,坂井瑠星,1:52.5,38.2,65.0,6,牝,2,466,10
0,201701010102,1,7,10,クリノレオノール,53,城戸義政,0:59.1,35.4,3.0,1,牝,3,434,-4
1,201701010102,2,8,12,プリモガナドール,54,池添謙一,0:59.2,35.7,5.6,4,牝,3,456,0
2,201701010102,3,5,5,コウセイキャサリン,53,坂井瑠星,0:59.3,35.9,4.8,3,牝,3,428,-4
3,201701010102,4,4,4,サンコロナ,54,蛯名正義,0:59.6,35.9,12.6,6,牝,3,402,4
4,201701010102,5,6,7,アラタマクリスエス,54,中井裕二,1:00.0,36.3,66.7,11,牝,3,422,-18
5,201701010102,6,7,9,ティアドーロ,54,福永祐一,1:00.1,36.7,3.8,2,牝,3,466,2
6,201701010102,7,5,6,フォーエバースカイ,53,井上敏樹,1:00.4,35.6,39.7,7,牝,3,370,0
7,201701010102,8,8,11,ビバジャンティ,54,古川吉洋,1:00.4,35.6,49.6,9,牝,3,474,-4
8,201701010102,9,3,3,アスヘノキボウ,54,柴山雄一,1:00.5,35.5,61.6,10,牝,3,420,0
9,201701010102,10,6,8,マイアミトロピカル,54,荻野琢真,1:00.6,35.5,47.1,8,牝,3,420,-8
10,201701010102,11,2,2,ラブパレード,51,横山武史,1:00.9,36.5,11.2,5,牝,3,464,6
11,201701010102,12,1,1,クリスタ,53,小崎綾也,1:01.1,36.9,114.1,12,牝,3,426,-8
0,201701010103,1,3,3,ハイクアウト,56,古川吉洋,2:35.5,38.1,5.8,2,牡,3,478,-6
1,201701010103,2,5,5,ハレカイ,56,勝浦正樹,2:35.7,38.0,13.9,7,牡,3,484,-12
2,201701010103,3,6,8,ワンナイトインパリ,56,ルメール,2:35.9,38.8,1.9,1,牡,3,496,6
3,201701010103,4,8,12,サトノヴィクトリー,56,ティータ,2:36.8,39.2,13.8,6,牡,3,450,2
4,201701010103,5,8,11,アーダルベルト,56,丸山元気,2:36.9,39.4,41.1,8,牡,3,424,-8
5,201701010103,6,4,4,ジャカンドジョー,56,黛弘人,2:37.0,40.0,7.7,4,牡,3,454,-4
6,201701010103,7,5,6,ジャイアンヴォーグ,56,藤岡佑介,2:37.6,40.4,6.0,3,牡,3,502,-8
7,201701010103,8,7,9,ドリームオブユー,56,蛯名正義,2:37.7,39.4,12.8,5,牡,3,460,0
8,201701010103,9,7,10,メイショウタンヅツ,55,小崎綾也,2:38.2,39.9,117.8,10,牡,3,460,-2
