,race_id,着順,枠番,馬番,馬名,斤量,騎手,タイム,上り,単勝,人気,性,年齢,体重,体重変化
9,201701010103,10,1,1,ウインアーカイヴス,56,丹内祐次,2:38.3,40.3,74.3,9,牡,3,480,-6
10,201701010103,11,6,7,ヴォワルドール,53,城戸義政,2:39.1,41.1,185.0,11,牝,3,436,-8
11,201701010103,12,2,2,ナイスメジャー,53,横山武史,2:44.0,44.7,303.2,12,牡,3,492,0
0,201701010104,1,6,8,アシャカリブラ,56,ティータ,1:46.5,37.7,10.1,4,牡,3,508,-8
1,201701010104,2,5,6,メモリーフェイス,54,池添謙一,1:46.6,38.0,1.6,1,牝,3,518,-4
2,201701010104,3,6,7,エンパイアスタイル,51,横山武史,1:46.8,38.3,20.3,6,牝,3,436,4
3,201701010104,4,1,1,ニシノリヒト,56,ルメール,1:47.5,38.8,7.4,3,牡,3,434,-8
4,201701010104,5,8,11,メイショウオオヨド,56,古川吉洋,1:47.7,38.6,5.5,2,牡,3,432,-10
5,201701010104,6,7,9,クールモンスター,56,柴山雄一,1:48.0,39.3,21.5,7,牡,3,496,-8
6,201701010104,7,3,3,ヴィトンリード,55,小崎綾也,1:48.1,38.1,19.5,5,牡,3,490,6
7,201701010104,8,2,2,ベルメーリャ,54,藤岡康太,1:48.3,39.1,23.3,8,牝,3,526,-10
8,201701010104,9,4,4,セイウンシナツ,55,木幡初也,1:48.3,38.6,158.2,12,牡,3,444,2
9,201701010104,10,7,10,ディープスピリッツ,56,蛯名正義,1:48.9,40.1,111.3,11,牡,3,438,-6
10,201701010104,11,8,12,サンニューオリンズ,54,嶋田純次,1:49.0,38.9,55.3,9,牝,3,452,6
11,201701010104,12,5,5,エンドオール,55,坂井瑠星,1:50.4,40.9,79.8,10,牡,3,490,-2
0,201701010105,1,8,8,タワーオブロンドン,54,ルメール,1:30.4,35.3,4.0,2,牡,2,516,0
1,201701010105,2,1,1,キルロード,54,柴山雄一,1:30.8,34.6,6.8,4,牡,2,484,0
2,201701010105,3,2,2,メジェールスー,54,福永祐一,1:30.9,35.4,2.1,1,牝,2,452,0
3,201701010105,4,4,4,マイウェイアムール,54,ティータ,1:31.1,35.8,5.8,3,牝,2,480,0
4,201701010105,5,8,9,タガノロッソ,54,藤岡康太,1:31.2,35.5,16.2,5,牡,2,470,0
5,201701010105,6,5,5,ディアジラソル,54,勝浦正樹,1:31.3,35.7,35.5,7,牝,2,420,0
6,201701010105,7,3,3,クリノカポネ,53,坂井瑠星,1:31.5,35.6,65.9,8,牡,2,458,0
7,201701010105,8,7,7,ワールドカフェ,54,四位洋文,1:32.2,36.9,24.6,6,牡,2,500,0
8,201701010105,9,6,6,サノノスカイ,53,木幡初也,1:32.9,36.6,95.0,9,牡,2,424,0
0,201701010106,1,5,10,ゲイルバローズ,56,ルメール,2:02.1,35.2,3.1,1,牡,3,436,6
1,201701010106,2,5,9,エスコフィオン,54,福永祐一,2:02.3,34.8,10.5,5,牝,3,408,-8
2,201701010106,3,1,2,ハルカノテソーロ,55,坂井瑠星,2:02.3,35.2,8.2,4,牡,3,520,6
3,201701010106,4,6,11,スマートサクソン,54,四位洋文,2:02.3,35.0,22.4,8,牝,3,482,-2
4,201701010106,5,2,4,サウンドラブリー,54,ティータ,2:02.4,35.6,4.2,2,牝,3,440,4
5,201701010106,6,3,5,ヒミノブリランテ,56,国分恭介,2:02.6,35.0,20.5,7,牡,3,474,0
6,201701010106,7,8,15,エミーリオ,56,丸山元気,2:02.6,36.1,128.1,13,牡,3,480,-10
7,201701010106,8,1,1,バプティシア,54,勝浦正樹,2:02.7,36.0,43.9,10,牝,3,426,-10
8,201701010106,9,7,14,ホウオウステップ,56,藤岡康太,2:02.8,35.3,110.3,12,牡,3,460,-2
9,201701010106,10,8,16,ショウナンタロット,56,池添謙一,2:03.1,36.5,11.1,6,牡,3,450,-4
10,201701010106,11,6,12,ラストプライドワン,56,柴山雄一,2:03.1,36.4,5.0,3,牡,3,466,-8
11,201701010106,12,7,13,トーアツキヒカリ,56,村田一誠,2:03.3,35.6,367.9,16,牡,3,456,-10
12,201701010106,13,4,8,ロザンジェ,56,丹内祐次,2:03.4,36.3,32.2,9,牡,3,448,-16
13,201701010106,14,2,3,モズアムール,54,蛯名正義,2:03.4,36.0,53.7,11,牝,3,438,-10
14,201701010106,15,3,6,トウケイホクト,54,黛弘人,2:03.5,36.3,157.5,14,牝,3,432,-4
15,201701010106,16,4,7,ヤマニンカプシーヌ,53,小崎綾也,2:04.4,37.9,273.2,15,牝,3,454,0
0,201701010107,1,7,9,テイエムチェロキー,54,古川吉洋,0:58.4,35.2,3.3,1,牡,3,468,10
1,201701010107,2,4,4,テンプルツリー,55,勝浦正樹,0:59.3,35.3,11.2,5,牝,4,448,2
2,201701010107,3,8,12,キセキノムスメ,55,中井裕二,0:59.3,35.5,12.6,7,牝,4,450,2
3,201701010107,4,7,10,タイセイラビッシュ,57,丸山元気,0:59.4,36.1,12.1,6,牡,5,490,6
4,201701010107,5,3,3,レーヴドミカ,55,藤岡佑介,0:59.6,35.2,10.4,4,牝,4,464,-12
5,201701010107,6,1,1,クラウンヴォルカン,57,荻野琢真,0:59.8,36.0,15.3,9,牡,4,498,-6
6,201701010107,7,6,8,ジュラーレ,54,坂井瑠星,1:00.0,35.6,35.2,10,牝,4,412,12
7,201701010107,8,6,7,アポロリュウセイ,57,丹内祐次,1:00.2,37.1,4.5,2,牡,4,494,-6
8,201701010107,9,5,6,シャイニードライヴ,53,木幡初也,1:00.3,36.5,67.8,12,牡,3,442,-6
9,201701010107,10,8,11,デルマコウモン,54,横山武史,1:00.6,36.1,12.7,8,牡,4,456,-4
10,201701010107,11,2,2,フォーシーム,55,菱田裕二,1:00.6,37.1,61.0,11,牝,4,468,-7
11,201701010107,12,5,5,シゲルヒョウ,53,井上敏樹,1:00.7,37.6,5.5,3,牡,3,472,-2
0,201701010108,1,1,1,サルドナ,55,福永祐一,1:08.4,34.8,5.2,3,牝,4,490,12
1,201701010108,2,3,4,ユキノカトレア,55,丸山元気,1:08.4,34.7,3.9,2,牝,5,484,-2
2,201701010108,3,4,6,クローソー,55,池添謙一,1:08.4,34.3,7.2,4,牝,5,412,-12
3,201701010108,4,3,3,アイムウィッシング,55,丹内祐次,1:08.7,34.3,30.5,10,牝,4,438,-6
4,201701010108,5,5,7,レアドロップ,55,ティータ,1:08.8,34.5,19.1,7,牝,4,450,-12
5,201701010108,5,7,11,マカレア,55,柴山雄一,1:08.8,34.6,49.7,11,牝,4,404,-6
6,201701010108,7,8,13,タカミツサクラ,51,坂井瑠星,1:08.8,34.9,3.0,1,牝,3,440,0
7,201701010108,8,5,8,ビービーバーレスク,52,蛯名正義,1:09.0,35.0,18.6,6,牝,3,482,-10
8,201701010108,9,6,9,ツキミチャン,55,藤岡佑介,1:09.1,34.3,21.2,8,牝,6,444,-6
9,201701010108,10,2,2,ディアパヴォーネ,52,勝浦正樹,1:09.4,34.5,92.9,12,牝,3,410,-8
10,201701010108,11,4,5,ゼットフーリ,55,藤岡康太,1:09.5,35.0,12.3,5,牝,4,488,8
11,201701010108,12,7,12,コンプレアンノ,51,木幡初也,1:09.7,34.2,398.9,14,牝,3,414,-16
12,201701010108,13,6,10,アンバーミニー,49,横山武史,1:10.0,35.7,25.0,9,牝,3,454,12
13,201701010108,14,8,14,ピコット,54,井上敏樹,1:10.1,35.5,213.3,13,牝,4,434,-14
0,201701010109,1,7,8,バニーテール,52,福永祐一,1:44.9,36.2,4.7,3,牝,3,476,8
1,201701010109,2,6,7,ドゥラリュール,57,四位洋文,1:45.5,36.5,3.8,2,牡,4,468,2
2,201701010109,3,7,9,ティモシーブルー,54,藤岡康太,1:46.4,37.6,7.2,4,牡,3,486,-14
3,201701010109,4,4,4,メイショウナゴミ,54,坂井瑠星,1:46.6,37.2,45.2,8,牝,5,444,-10
4,201701010109,5,2,2,ヒルノサルバドール,54,横山武史,1:46.7,38.1,2.4,1,牡,4,440,2
5,201701010109,6,3,3,ライフトップガン,57,菱田裕二,1:46.8,37.5,102.1,10,牡,7,488,-16
6,201701010109,7,8,11,インスタイル,57,黛弘人,1:46.9,37.3,118.3,11,セ,6,494,-6
7,201701010109,8,8,10,ビービーパドル,54,勝浦正樹,1:47.2,38.0,21.0,6,牡,3,468,-2
8,201701010109,9,5,5,タイキダイヤモンド,53,井上敏樹,1:47.3,38.7,11.4,5,牡,3,464,-12
9,201701010109,10,1,1,エンセラダス,54,蛯名正義,1:47.9,38.7,66.1,9,牡,3,460,-10
10,201701010109,11,6,6,ブラウンアニマート,57,丸山元気,1:48.6,38.5,25.8,7,牡,4,488,-2
0,201701010110,1,1,1,ドゥーカ,57,藤岡佑介,1:27.4,34.8,4.7,2,牡,4,490,8
1,201701010110,2,3,4,サフランハート,57,福永祐一,1:27.4,34.4,2.9,1,牡,4,448,-10
2,201701010110,3,3,3,キタアルプス,54,井上幹太,1:27.7,34.7,123.6,13,牡,3,454,2
3,201701010110,4,4,5,アーチキング,57,ルメール,1:27.9,34.6,5.9,3,セ,4,506,-24
4,201701010110,5,5,8,ビッグランチ,57,勝浦正樹,1:27.9,34.1,114.9,12,牡,4,462,0
5,201701010110,6,5,7,ジョイフル,54,四位洋文,1:27.9,35.5,78.7,9,牡,3,506,0
6,201701010110,7,6,10,カープストリーマー,57,ティータ,1:28.3,35.7,8.0,5,牡,4,510,-12
7,201701010110,8,8,13,アルチレイロ,54,柴山雄一,1:28.5,35.2,27.5,8,牡,3,458,0
8,201701010110,9,8,14,フクノクオリア,54,横山和生,1:28.6,35.1,79.0,10,セ,3,490,-8
9,201701010110,10,7,12,プリンシパルスター,57,池添謙一,1:28.6,35.7,88.8,11,セ,4,428,-10
10,201701010110,11,6,9,シグルーン,52,藤岡康太,1:28.6,36.8,10.5,6,牝,3,458,20
11,201701010110,12,2,2,ポップシンガー,52,丹内祐次,1:28.8,36.4,12.2,7,牝,3,448,-10
12,201701010110,13,4,6,スリーデーモン,57,黛弘人,1:30.3,36.1,299.3,14,牡,7,530,-2
0,201701010111,1,6,6,ハッピーユニバンス,52,蛯名正義,1:46.1,35.2,28.8,8,牝,5,466,-10
1,201701010111,2,2,2,テオドール,56,ルメール,1:46.3,37.2,1.7,1,牡,4,538,-6
2,201701010111,3,4,4,サトノアリシア,51,池添謙一,1:46.4,36.3,9.3,4,牝,3,478,-4
3,201701010111,4,1,1,ゲッカコウ,53,丹内祐次,1:46.6,35.6,10.8,5,牝,4,464,0
4,201701010111,5,7,7,ジョルジュサンク,56,坂井瑠星,1:46.6,35.9,7.3,3,牡,4,516,0
5,201701010111,6,8,10,ダイヤモンドダンス,53,勝浦正樹,1:46.7,35.3,149.6,10,牡,8,496,-14
6,201701010111,7,8,9,ベルニーニ,54,菱田裕二,1:47.1,35.6,129.2,9,牡,8,466,0
7,201701010111,8,5,5,メイクアップ,54,柴山雄一,1:47.1,36.5,27.1,7,牡,6,478,-10
8,201701010111,9,3,3,ペガサスボス,55,福永祐一,1:47.2,35.2,11.6,6,牡,5,508,-22
9,201701010111,10,7,8,ヒーズインラブ,57,藤岡康太,1:48.8,38.3,5.3,2,牡,4,524,4
0,201701010112,1,5,5,ステイパーシスト,57,ルメール,2:40.3,35.0,2.1,1,牡,4,426,-4
1,201701010112,2,3,3,リッジマン,57,蛯名正義,2:40.7,35.5,9.1,5,牡,4,442,-10
2,201701010112,3,2,2,ウインヴォラーレ,57,丹内祐次,2:41.0,36.1,4.7,2,牡,4,470,16
3,201701010112,4,6,6,アグリッパーバイオ,57,ティータ,2:41.1,36.0,4.9,3,牡,6,448,-10
4,201701010112,5,8,8,エリモジパング,57,坂井瑠星,2:41.4,35.7,153.8,8,牡,7,466,-8
5,201701010112,6,1,1,ダノンアローダ,57,藤岡康太,2:41.8,37.1,5.6,4,牡,4,536,6
6,201701010112,7,7,7,エムオーグリッタ,54,勝浦正樹,2:42.6,37.8,15.6,6,牡,3,484,-8
7,201701010112,8,4,4,ランドオザリール,57,国分恭介,2:42.7,37.9,94.3,7,牡,6,520,-8
0,201701010201,1,6,6,ヴーディーズピアス,54,川田将雅,1:10.4,35.9,3.1,2,牝,2,464,2
1,201701010201,2,2,2,フェリーチェ,54,横山典弘,1:10.7,35.3,23.4,5,牝,2,450,-8
2,201701010201,3,5,5,エムケイフローラル,54,藤岡佑介,1:10.8,36.4,1.4,1,牝,2,428,8
3,201701010201,4,1,1,クオーレカルド,51,横山武史,1:11.0,36.7,25.3,6,牝,2,428,2
4,201701010201,5,4,4,ピエナシニスター,54,古川吉洋,1:11.2,36.5,14.2,4,牝,2,440,-8
5,201701010201,6,3,3,ビクトリーゲート,54,ティータ,1:11.5,36.9,12.4,3,牝,2,430,6
0,201701010202,1,2,2,バングルバングル,56,丹内祐次,0:59.8,36.1,2.5,1,牡,3,492,-2
1,201701010202,2,6,8,タイセイブリット,55,坂井瑠星,0:59.8,36.0,5.9,2,牡,3,460,-4
2,201701010202,3,3,3,ユメノカガヤキ,53,井上敏樹,1:00.1,36.1,11.1,6,牝,3,446,-2
3,201701010202,4,5,5,ギャラクシーキング,55,小崎綾也,1:00.2,35.9,6.3,3,牡,3,462,-2
4,201701010202,5,8,11,フォルテメンテ,55,木幡初也,1:00.4,36.0,28.1,9,牡,3,496,-8
5,201701010202,6,5,6,トモノセンス,56,国分恭介,1:00.7,36.0,38.9,10,牡,3,496,-4
6,201701010202,7,1,1,ピュアアモーレ,54,勝浦正樹,1:00.9,37.2,6.8,4,牝,3,476,0
7,201701010202,8,7,9,ビターレ,56,藤岡佑介,1:00.9,35.9,9.1,5,牡,3,436,-2
8,201701010202,9,4,4,クモノカヨイジ,56,江田照男,1:01.1,36.5,20.1,8,牡,3,442,2
9,201701010202,10,7,10,テイクマイチャンス,54,黛弘人,1:01.1,37.0,137.5,12,牝,3,454,-6
10,201701010202,11,8,12,ディアヴイーバル,56,藤岡康太,1:01.1,36.4,16.7,7,牡,3,452,-14
11,201701010202,12,6,7,ヤマチョウマグナム,53,横山武史,1:01.1,36.4,84.5,11,牡,3,518,-6
0,201701010203,1,1,1,マスラオ,55,木幡初也,1:47.2,38.8,3.0,1,牡,3,440,-8
1,201701010203,2,5,5,ワールドヴィジョン,56,藤岡康太,1:47.4,39.0,7.3,3,牡,3,488,4
2,201701010203,3,8,10,メイショウスイグン,56,古川吉洋,1:47.4,38.7,8.4,5,牡,3,462,2
3,201701010203,4,7,7,キャノンショット,55,小崎綾也,1:48.6,39.5,65.1,9,牡,3,574,-6
4,201701010203,5,6,6,ルーチェミラコロ,56,丸山元気,1:48.6,39.9,17.2,8,牡,3,454,4
5,201701010203,6,7,8,コーリンマカロン,54,横山和生,1:48.8,40.2,12.6,7,牝,3,480,-4
6,201701010203,7,3,3,ベイローレル,55,坂井瑠星,1:49.4,41.2,7.7,4,牡,3,476,6
7,201701010203,8,8,9,ダイワアジール,56,池添謙一,1:50.0,41.2,125.3,10,牡,3,474,-4
8,201701010203,9,4,4,クリュティエ,54,柴山雄一,1:50.2,41.8,3.6,2,牝,3,450,-2
9,201701010203,10,2,2,リーゼントシャルフ,56,藤岡佑介,1:50.4,42.2,10.2,6,牡,3,472,-6
0,201701010204,1,4,5,ヤマニンペダラーダ,56,池添謙一,1:28.6,35.5,2.4,1,牡,3,460,4
1,201701010204,2,2,2,アイアムビューティ,54,四位洋文,1:28.8,35.5,9.6,4,牝,3,436,2
2,201701010204,3,1,1,ステイオンザトップ,56,ルメール,1:29.0,35.1,4.2,2,牡,3,460,-10
3,201701010204,4,5,8,ラーゴブルー,54,福永祐一,1:29.0,35.7,21.8,8,牝,3,510,10
4,201701010204,5,6,10,ソニックアロー,56,蛯名正義,1:29.0,36.1,13.0,6,牡,3,530,10
5,201701010204,6,6,9,ミルキークォーツ,54,川田将雅,1:29.2,35.6,5.6,3,牝,3,414,0
6,201701010204,7,4,6,ハクシュカッサイ,55,井上敏樹,1:29.4,35.9,51.0,9,牡,3,416,-6
7,201701010204,8,3,3,ロックイット,56,横山典弘,1:29.4,36.2,11.3,5,牡,3,470,10
8,201701010204,9,5,7,ブライトエピローグ,51,横山武史,1:29.6,35.9,99.4,11,牝,3,448,6
9,201701010204,10,7,12,サウスシュネル,56,藤岡康太,1:29.6,35.8,83.6,10,牡,3,434,4
10,201701010204,11,3,4,ホッコーペネロープ,54,村田一誠,1:29.9,37.1,222.2,13,牝,3,472,-2
11,201701010204,12,8,13,スズカフローレンス,53,坂井瑠星,1:30.2,36.7,368.3,14,牝,3,498,18
12,201701010204,13,8,14,クリスタルバブルス,56,丸山元気,1:30.6,37.5,16.5,7,牡,3,450,-8
13,201701010204,14,7,11,ディアパリス,56,藤岡佑介,1:32.7,40.1,186.1,12,牡,3,432,-6
0,201701010205,1,7,7,レイエンダ,54,ルメール,1:51.4,34.5,1.2,1,牡,2,474,0
1,201701010205,2,2,2,ラソワドール,54,福永祐一,1:51.6,35.2,5.1,2,牝,2,494,0
2,201701010205,3,1,1,ハルキスター,54,藤岡佑介,1:51.8,35.5,12.1,4,牡,2,462,0
3,201701010205,4,6,6,カヴァロディーオ,54,ティータ,1:52.4,36.3,23.3,5,牡,2,480,0
4,201701010205,5,4,4,ラベンデュラン,54,勝浦正樹,1:52.4,36.0,10.0,3,牡,2,422,0
5,201701010205,6,3,3,デルマラム,54,横山典弘,1:52.7,36.1,96.3,7,牝,2,434,0
6,201701010205,7,5,5,スタートレイン,54,柴山雄一,1:52.8,36.1,91.4,6,牡,2,428,0
0,201701010206,1,1,1,ハヤブサマカオー,54,ルメール,1:47.3,38.8,2.3,1,牡,2,460,0
1,201701010206,2,7,10,コパノステラート,54,川田将雅,1:49.0,40.3,8.1,4,牝,2,470,0
2,201701010206,3,8,11,メイショウタイシ,54,蛯名正義,1:49.6,39.6,7.5,3,牡,2,480,0
3,201701010206,4,6,8,アイキャッチング,54,古川吉洋,1:50.0,40.2,44.0,10,牡,2,468,0
4,201701010206,5,5,6,ステラストラータ,54,丹内祐次,1:50.7,41.5,4.3,2,牡,2,468,0
5,201701010206,6,3,3,トリコロールライト,51,横山武史,1:50.9,40.4,30.6,9,牡,2,476,0
6,201701010206,7,4,4,ヒデノトパーズ,53,小崎綾也,1:51.5,41.5,134.3,12,牝,2,436,0
7,201701010206,8,7,9,コスモビスティー,54,黛弘人,1:52.1,43.4,21.1,7,牡,2,466,0
8,201701010206,9,8,12,レベルスリー,53,坂井瑠星,1:52.4,43.7,14.4,5,牡,2,446,0
9,201701010206,10,2,2,アリュールベルン,54,藤岡康太,1:52.4,41.8,29.1,8,牡,2,466,0
10,201701010206,11,5,5,ビアンカグリーン,54,柴山雄一,1:53.4,40.6,74.4,11,牡,2,476,0
11,201701010206,12,6,7,ダイチョウセブン,54,福永祐一,2:00.1,50.0,18.7,6,牡,2,454,0
0,201701010207,1,1,1,メイショウテンシャ,54,池添謙一,1:47.3,35.0,6.5,3,牡,3,464,2
1,201701010207,2,7,10,スパイクナード,52,藤岡康太,1:47.3,34.7,27.8,8,牝,3,430,2
2,201701010207,3,6,7,メイショウフェイク,57,柴山雄一,1:47.3,35.2,6.1,2,牡,5,504,-2
3,201701010207,4,5,5,コスモスピード,54,丹内祐次,1:47.4,35.4,22.9,7,牡,3,446,4
4,201701010207,5,4,4,エアニューゲート,54,福永祐一,1:47.4,35.4,2.1,1,牡,3,504,2
5,201701010207,6,5,6,ピックミータッチ,57,ルメール,1:47.6,35.1,7.0,4,セ,4,500,-8
6,201701010207,7,7,9,プレイヤーサムソン,57,四位洋文,1:47.7,35.3,8.2,5,牡,4,462,-8
7,201701010207,8,2,2,ベルメール,52,横山武史,1:47.7,35.7,142.0,11,牝,5,500,0
8,201701010207,9,6,8,ローリングタワー,53,城戸義政,1:47.7,34.8,54.7,10,牡,3,436,-4
9,201701010207,10,8,12,ミスズダンディー,57,横山典弘,1:48.0,34.8,18.2,6,牡,5,474,2
10,201701010207,11,8,11,イントゥザターフ,57,蛯名正義,1:49.0,36.5,27.9,9,牡,4,480,6
11,201701010207,12,3,3,カジノクイーン,55,江田照男,1:51.1,39.3,333.2,12,牝,4,456,-4
0,201701010208,1,4,4,サトノプライム,54,古川吉洋,1:44.9,37.2,5.9,2,牡,3,490,-8
1,201701010208,2,7,9,トミケンボハテル,54,柴山雄一,1:45.6,38.9,9.5,4,牡,3,482,0
2,201701010208,3,6,7,ブラックジェイド,54,横山典弘,1:45.7,39.0,1.6,1,牡,3,516,-4
3,201701010208,4,2,2,ナンヨーアーミー,57,ティータ,1:45.8,38.8,12.5,5,牡,4,522,4
4,201701010208,5,8,11,ランドハイパワー,57,国分恭介,1:45.8,38.8,77.3,10,牡,4,500,12
5,201701010208,6,1,1,ドラゴンイモン,56,木幡初也,1:46.0,38.0,39.4,8,牡,4,478,-4
6,201701010208,7,7,10,ディナスティーア,55,藤岡佑介,1:46.3,38.4,27.4,6,牝,5,502,6
7,201701010208,8,8,12,カゼノドリーム,57,江田照男,1:46.8,38.6,149.6,11,牡,5,450,-6
8,201701010208,9,5,6,サンマルドライヴ,57,竹之下智,1:46.8,37.9,162.2,12,牡,4,430,-2
9,201701010208,10,3,3,クリノゼノビア,51,坂井瑠星,1:48.7,40.5,31.3,7,牝,3,410,-8
10,201701010208,11,5,5,タニガワ,54,横山武史,1:49.3,42.0,6.3,3,牡,4,474,4
11,201701010208,12,6,8,ブルーヘヴン,52,黛弘人,1:50.0,42.3,39.9,9,牝,3,500,8
0,201701010209,1,7,7,マイネルヴンシュ,54,丹内祐次,2:00.3,34.6,8.3,3,牡,3,456,20
1,201701010209,2,8,9,ロライマ,57,ルメール,2:00.3,34.4,4.2,2,セ,4,444,-2
2,201701010209,3,1,1,エアウィンザー,54,福永祐一,2:00.5,34.4,1.6,1,牡,3,500,-2
3,201701010209,4,8,8,フォーラウェイ,57,古川吉洋,2:00.9,34.9,10.9,4,牡,4,444,-4
4,201701010209,5,2,2,コスモレティクルム,55,ティータ,2:01.3,35.1,31.7,7,牝,4,448,-4
5,201701010209,6,4,4,ユノディエール,54,池添謙一,2:01.5,35.7,28.9,6,牡,3,442,0
6,201701010209,7,3,3,スパーキングジョイ,57,藤岡康太,2:01.6,35.7,35.6,8,牡,4,488,2
7,201701010209,8,5,5,ウェイト,57,黛弘人,2:02.5,36.9,54.6,9,牡,4,508,10
8,201701010209,9,6,6,ビレッジソング,55,城戸義政,2:02.7,37.1,14.6,5,牝,6,438,-8
0,201701010210,1,5,7,レインボーソング,55,川田将雅,1:45.4,36.0,11.9,5,牝,5,492,10
1,201701010210,2,1,1,ディーズプラネット,55,横山典弘,1:45.4,36.2,2.1,1,牝,4,508,6
2,201701010210,3,8,12,オージャイト,55,ルメール,1:45.6,36.0,4.9,2,牝,4,478,-4
3,201701010210,4,7,10,エグランティーナ,55,ティータ,1:45.6,35.8,32.3,7,牝,5,534,4
4,201701010210,5,5,6,サンヘレナ,55,蛯名正義,1:45.7,36.0,14.2,6,牝,4,494,2
5,201701010210,6,8,13,ベストセラーアスク,55,荻野琢真,1:46.1,35.5,46.3,9,牝,6,440,2
6,201701010210,7,4,5,マーブルケーキ,55,勝浦正樹,1:46.1,35.8,49.3,10,牝,6,482,2
7,201701010210,8,6,8,カンデラ,55,古川吉洋,1:46.2,36.2,60.4,12,牝,5,508,-2
8,201701010210,9,3,3,エクストラペトル,55,中井裕二,1:46.5,36.2,128.2,13,牝,5,452,-8
9,201701010210,10,2,2,プティットクルール,52,藤岡康太,1:46.7,37.2,34.9,8,牝,3,432,2
10,201701010210,11,6,9,ポッドクヒオ,55,福永祐一,1:46.8,36.7,6.8,3,牝,4,448,-2
11,201701010210,12,7,11,ツインキャンドル,55,横山和生,1:46.9,38.5,60.0,11,牝,6,446,-14
12,201701010210,13,4,4,ブランシェクール,55,柴山雄一,1:47.8,37.8,7.2,4,牝,4,514,8
0,201701010211,1,2,2,アエロリット,52,横山典弘,1:45.7,35.5,3.2,2,牝,3,496,18
1,201701010211,2,1,1,トーセンビクトリー,55,福永祐一,1:46.1,34.4,14.7,6,牝,5,468,0
2,201701010211,3,4,4,クインズミラーグロ,55,藤岡康太,1:46.3,34.4,18.7,8,牝,5,450,-10
3,201701010211,4,6,8,クロコスミア,55,勝浦正樹,1:46.5,35.1,13.3,5,牝,4,418,6
4,201701010211,5,8,13,エテルナミノル,55,蛯名正義,1:46.6,34.9,49.8,10,牝,4,448,0
5,201701010211,6,8,12,アドマイヤリード,55,ルメール,1:46.6,34.6,2.4,1,牝,4,424,2
